subject,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage
1,0.0,0.75,0.75,1.0
1,0.55,0.75,0.7827868852459017,0.8472222222222222
1,0.6,0.75,0.7982062780269058,0.7743055555555556
1,0.65,0.75,0.82,0.6944444444444444
1,0.7,0.75,0.8448275862068966,0.6041666666666666
1,0.75,0.75,0.8723404255319149,0.4895833333333333
2,0.0,0.6041666666666666,0.6041666666666666,1.0
2,0.55,0.6041666666666666,0.7435897435897436,0.5416666666666666
2,0.6,0.6041666666666666,0.7819548872180451,0.4618055555555556
2,0.65,0.6041666666666666,0.8103448275862069,0.4027777777777778
2,0.7,0.6041666666666666,0.8571428571428571,0.3402777777777778
2,0.75,0.6041666666666666,0.868421052631579,0.2638888888888889
3,0.0,0.7673611111111112,0.7673611111111112,1.0
3,0.55,0.7673611111111112,0.8072289156626506,0.8645833333333334
3,0.6,0.7673611111111112,0.8425531914893617,0.8159722222222222
3,0.65,0.7673611111111112,0.8584474885844748,0.7604166666666666
3,0.7,0.7673611111111112,0.8823529411764706,0.6493055555555556
3,0.75,0.7673611111111112,0.9151515151515152,0.5729166666666666
4,0.0,0.4166666666666667,0.4166666666666667,1.0
4,0.55,0.4166666666666667,0.4,0.1388888888888889
4,0.6,0.4166666666666667,0.38095238095238093,0.07291666666666667
4,0.65,0.4166666666666667,0.375,0.027777777777777776
4,0.7,0.4166666666666667,1.0,0.006944444444444444
4,0.75,0.4166666666666667,,0.0
5,0.0,0.3888888888888889,0.3888888888888889,1.0
5,0.55,0.3888888888888889,0.6363636363636364,0.03819444444444445
5,0.6,0.3888888888888889,0.8333333333333334,0.020833333333333332
5,0.65,0.3888888888888889,0.75,0.013888888888888888
5,0.7,0.3888888888888889,,0.0
5,0.75,0.3888888888888889,,0.0
6,0.0,0.4340277777777778,0.4340277777777778,1.0
6,0.55,0.4340277777777778,0.3723404255319149,0.3263888888888889
6,0.6,0.4340277777777778,0.4166666666666667,0.20833333333333334
6,0.65,0.4340277777777778,0.5238095238095238,0.14583333333333334
6,0.7,0.4340277777777778,0.7,0.06944444444444445
6,0.75,0.4340277777777778,0.7142857142857143,0.024305555555555556
7,0.0,0.7395833333333334,0.7395833333333334,1.0
7,0.55,0.7395833333333334,0.7745901639344263,0.8472222222222222
7,0.6,0.7395833333333334,0.783410138248848,0.7534722222222222
7,0.65,0.7395833333333334,0.7958115183246073,0.6631944444444444
7,0.7,0.7395833333333334,0.8209876543209876,0.5625
7,0.75,0.7395833333333334,0.8235294117647058,0.4722222222222222
8,0.0,0.7152777777777778,0.7152777777777778,1.0
8,0.55,0.7152777777777778,0.7949790794979079,0.8298611111111112
8,0.6,0.7152777777777778,0.8186046511627907,0.7465277777777778
8,0.65,0.7152777777777778,0.8429319371727748,0.6631944444444444
8,0.7,0.7152777777777778,0.8529411764705882,0.5902777777777778
8,0.75,0.7152777777777778,0.8848920863309353,0.4826388888888889
9,0.0,0.5703971119133574,0.5703971119133574,1.0
9,0.55,0.5703971119133574,0.6241610738255033,0.5379061371841155
9,0.6,0.5703971119133574,0.652542372881356,0.4259927797833935
9,0.65,0.5703971119133574,0.6813186813186813,0.3285198555956679
9,0.7,0.5703971119133574,0.7076923076923077,0.23465703971119134
9,0.75,0.5703971119133574,0.75,0.17328519855595667
