subject,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage
1,0.55,0.7430555555555556,0.8392857142857143,0.7777777777777778
1,0.6,0.7430555555555556,0.8620689655172413,0.7048611111111112
1,0.65,0.7430555555555556,0.8920454545454546,0.6111111111111112
1,0.7,0.7430555555555556,0.9102564102564102,0.5416666666666666
1,0.75,0.7430555555555556,0.937984496124031,0.4479166666666667
1,0.8,0.7430555555555556,0.9294117647058824,0.2951388888888889
1,0.85,0.7430555555555556,0.9761904761904762,0.14583333333333334
1,0.9,0.7430555555555556,1.0,0.013888888888888888
1,0.95,0.7430555555555556,,0.0
1,1.0,0.7430555555555556,,0.0
2,0.55,0.5659722222222222,0.7176470588235294,0.5902777777777778
2,0.6,0.5659722222222222,0.7878787878787878,0.4583333333333333
2,0.65,0.5659722222222222,0.8469387755102041,0.3402777777777778
2,0.7,0.5659722222222222,0.875,0.25
2,0.75,0.5659722222222222,0.9111111111111111,0.15625
2,0.8,0.5659722222222222,0.9354838709677419,0.1076388888888889
2,0.85,0.5659722222222222,1.0,0.006944444444444444
2,0.9,0.5659722222222222,,0.0
2,0.95,0.5659722222222222,,0.0
2,1.0,0.5659722222222222,,0.0
3,0.55,0.8125,0.8675213675213675,0.8125
3,0.6,0.8125,0.897196261682243,0.7430555555555556
3,0.65,0.8125,0.9191919191919192,0.6875
3,0.7,0.8125,0.9234972677595629,0.6354166666666666
3,0.75,0.8125,0.9425287356321839,0.6041666666666666
3,0.8,0.8125,0.9657534246575342,0.5069444444444444
3,0.85,0.8125,0.9642857142857143,0.3888888888888889
3,0.9,0.8125,0.9772727272727273,0.1527777777777778
3,0.95,0.8125,,0.0
3,1.0,0.8125,,0.0
4,0.55,0.53125,0.7046979865771812,0.5173611111111112
4,0.6,0.53125,0.7578947368421053,0.3298611111111111
4,0.65,0.53125,0.8409090909090909,0.1527777777777778
4,0.7,0.53125,1.0,0.03125
4,0.75,0.53125,,0.0
4,0.8,0.53125,,0.0
4,0.85,0.53125,,0.0
4,0.9,0.53125,,0.0
4,0.95,0.53125,,0.0
4,1.0,0.53125,,0.0
5,0.55,0.40625,0.4444444444444444,0.28125
5,0.6,0.40625,0.5769230769230769,0.09027777777777778
5,0.65,0.40625,0.875,0.027777777777777776
5,0.7,0.40625,1.0,0.003472222222222222
5,0.75,0.40625,,0.0
5,0.8,0.40625,,0.0
5,0.85,0.40625,,0.0
5,0.9,0.40625,,0.0
5,0.95,0.40625,,0.0
5,1.0,0.40625,,0.0
6,0.55,0.5104166666666666,0.6312056737588653,0.4895833333333333
6,0.6,0.5104166666666666,0.6382978723404256,0.3263888888888889
6,0.65,0.5104166666666666,0.6363636363636364,0.1527777777777778
6,0.7,0.5104166666666666,0.6666666666666666,0.052083333333333336
6,0.75,0.5104166666666666,,0.0
6,0.8,0.5104166666666666,,0.0
6,0.85,0.5104166666666666,,0.0
6,0.9,0.5104166666666666,,0.0
6,0.95,0.5104166666666666,,0.0
6,1.0,0.5104166666666666,,0.0
7,0.55,0.8159722222222222,0.8379446640316206,0.8784722222222222
7,0.6,0.8159722222222222,0.8558951965065502,0.7951388888888888
7,0.65,0.8159722222222222,0.8975609756097561,0.7118055555555556
7,0.7,0.8159722222222222,0.900523560209424,0.6631944444444444
7,0.75,0.8159722222222222,0.9367088607594937,0.5486111111111112
7,0.8,0.8159722222222222,0.926829268292683,0.4270833333333333
7,0.85,0.8159722222222222,0.972972972972973,0.2569444444444444
7,0.9,0.8159722222222222,1.0,0.0625
7,0.95,0.8159722222222222,,0.0
7,1.0,0.8159722222222222,,0.0
8,0.55,0.7986111111111112,0.8600823045267489,0.84375
8,0.6,0.7986111111111112,0.8844444444444445,0.78125
8,0.65,0.7986111111111112,0.9207920792079208,0.7013888888888888
8,0.7,0.7986111111111112,0.9325842696629213,0.6180555555555556
8,0.75,0.7986111111111112,0.9523809523809523,0.5104166666666666
8,0.8,0.7986111111111112,0.9661016949152542,0.4097222222222222
8,0.85,0.7986111111111112,0.975,0.2777777777777778
8,0.9,0.7986111111111112,0.9393939393939394,0.11458333333333333
8,0.95,0.7986111111111112,,0.0
8,1.0,0.7986111111111112,,0.0
9,0.55,0.5848375451263538,0.6910112359550562,0.6425992779783394
9,0.6,0.5848375451263538,0.7222222222222222,0.51985559566787
9,0.65,0.5848375451263538,0.7289719626168224,0.3862815884476534
9,0.7,0.5848375451263538,0.7857142857142857,0.2527075812274368
9,0.75,0.5848375451263538,0.8205128205128205,0.1407942238267148
9,0.8,0.5848375451263538,1.0,0.039711191335740074
9,0.85,0.5848375451263538,1.0,0.0036101083032490976
9,0.9,0.5848375451263538,,0.0
9,0.95,0.5848375451263538,,0.0
9,1.0,0.5848375451263538,,0.0
