subject,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage
1,0.55,0.7083333333333334,0.737037037037037,0.9375
1,0.6,0.7083333333333334,0.7549407114624506,0.8784722222222222
1,0.65,0.7083333333333334,0.7787234042553192,0.8159722222222222
1,0.7,0.7083333333333334,0.8428571428571429,0.7291666666666666
1,0.75,0.7083333333333334,0.8936170212765957,0.6527777777777778
1,0.8,0.7083333333333334,0.9146341463414634,0.5694444444444444
1,0.85,0.7083333333333334,0.9312977099236641,0.4548611111111111
1,0.9,0.7083333333333334,0.9666666666666667,0.10416666666666667
1,0.95,0.7083333333333334,,0.0
1,1.0,0.7083333333333334,,0.0
2,0.55,0.5243055555555556,0.5518672199170125,0.8368055555555556
2,0.6,0.5243055555555556,0.5777777777777777,0.78125
2,0.65,0.5243055555555556,0.6467391304347826,0.6388888888888888
2,0.7,0.5243055555555556,0.7189542483660131,0.53125
2,0.75,0.5243055555555556,0.8333333333333334,0.3541666666666667
2,0.8,0.5243055555555556,0.8939393939393939,0.22916666666666666
2,0.85,0.5243055555555556,1.0,0.010416666666666666
2,0.9,0.5243055555555556,,0.0
2,0.95,0.5243055555555556,,0.0
2,1.0,0.5243055555555556,,0.0
3,0.55,0.7465277777777778,0.7695167286245354,0.9340277777777778
3,0.6,0.7465277777777778,0.7837837837837838,0.8993055555555556
3,0.65,0.7465277777777778,0.8189300411522634,0.84375
3,0.7,0.7465277777777778,0.8738738738738738,0.7708333333333334
3,0.75,0.7465277777777778,0.900497512437811,0.6979166666666666
3,0.8,0.7465277777777778,0.9114583333333334,0.6666666666666666
3,0.85,0.7465277777777778,0.9341317365269461,0.5798611111111112
3,0.9,0.7465277777777778,0.9629629629629629,0.375
3,0.95,0.7465277777777778,1.0,0.003472222222222222
3,1.0,0.7465277777777778,,0.0
4,0.55,0.5208333333333334,0.5614754098360656,0.8472222222222222
4,0.6,0.5208333333333334,0.5944700460829493,0.7534722222222222
4,0.65,0.5208333333333334,0.6324324324324324,0.6423611111111112
4,0.7,0.5208333333333334,0.7279411764705882,0.4722222222222222
4,0.75,0.5208333333333334,0.7702702702702703,0.2569444444444444
4,0.8,0.5208333333333334,0.8333333333333334,0.020833333333333332
4,0.85,0.5208333333333334,,0.0
4,0.9,0.5208333333333334,,0.0
4,0.95,0.5208333333333334,,0.0
4,1.0,0.5208333333333334,,0.0
5,0.55,0.40625,0.4519230769230769,0.7222222222222222
5,0.6,0.40625,0.48333333333333334,0.625
5,0.65,0.40625,0.4855072463768116,0.4791666666666667
5,0.7,0.40625,0.48717948717948717,0.2708333333333333
5,0.75,0.40625,0.7272727272727273,0.03819444444444445
5,0.8,0.40625,,0.0
5,0.85,0.40625,,0.0
5,0.9,0.40625,,0.0
5,0.95,0.40625,,0.0
5,1.0,0.40625,,0.0
6,0.55,0.4895833333333333,0.537117903930131,0.7951388888888888
6,0.6,0.4895833333333333,0.5454545454545454,0.7256944444444444
6,0.65,0.4895833333333333,0.5738636363636364,0.6111111111111112
6,0.7,0.4895833333333333,0.6446280991735537,0.4201388888888889
6,0.75,0.4895833333333333,0.6176470588235294,0.2361111111111111
6,0.8,0.4895833333333333,,0.0
6,0.85,0.4895833333333333,,0.0
6,0.9,0.4895833333333333,,0.0
6,0.95,0.4895833333333333,,0.0
6,1.0,0.4895833333333333,,0.0
7,0.55,0.7777777777777778,0.7849462365591398,0.96875
7,0.6,0.7777777777777778,0.7941176470588235,0.9444444444444444
7,0.65,0.7777777777777778,0.836,0.8680555555555556
7,0.7,0.7777777777777778,0.8408163265306122,0.8506944444444444
7,0.75,0.7777777777777778,0.8733031674208145,0.7673611111111112
7,0.8,0.7777777777777778,0.9037433155080213,0.6493055555555556
7,0.85,0.7777777777777778,0.9240506329113924,0.5486111111111112
7,0.9,0.7777777777777778,0.9629629629629629,0.1875
7,0.95,0.7777777777777778,,0.0
7,1.0,0.7777777777777778,,0.0
8,0.55,0.7673611111111112,0.7962962962962963,0.9375
8,0.6,0.7673611111111112,0.816793893129771,0.9097222222222222
8,0.65,0.7673611111111112,0.8366533864541833,0.8715277777777778
8,0.7,0.7673611111111112,0.8765957446808511,0.8159722222222222
8,0.75,0.7673611111111112,0.8940092165898618,0.7534722222222222
8,0.8,0.7673611111111112,0.9128205128205128,0.6770833333333334
8,0.85,0.7673611111111112,0.9470588235294117,0.5902777777777778
8,0.9,0.7673611111111112,0.9495798319327731,0.4131944444444444
8,0.95,0.7673611111111112,1.0,0.006944444444444444
8,1.0,0.7673611111111112,,0.0
9,0.55,0.5740072202166066,0.6141078838174274,0.8700361010830325
9,0.6,0.5740072202166066,0.618421052631579,0.8231046931407943
9,0.65,0.5740072202166066,0.6428571428571429,0.7581227436823105
9,0.7,0.5740072202166066,0.6648936170212766,0.6787003610108303
9,0.75,0.5740072202166066,0.6923076923076923,0.5631768953068592
9,0.8,0.5740072202166066,0.7657657657657657,0.4007220216606498
9,0.85,0.5740072202166066,0.7450980392156863,0.18411552346570398
9,0.9,0.5740072202166066,,0.0
9,0.95,0.5740072202166066,,0.0
9,1.0,0.5740072202166066,,0.0
