subject,threshold,ensemble_acc_all,ensemble_acc_confident,ensemble_coverage
1,0.0,0.7465277777777778,0.7465277777777778,1.0
1,0.55,0.7465277777777778,0.7877551020408163,0.8506944444444444
1,0.6,0.7465277777777778,0.7982062780269058,0.7743055555555556
1,0.65,0.7465277777777778,0.82,0.6944444444444444
1,0.7,0.7465277777777778,0.8465909090909091,0.6111111111111112
2,0.0,0.6493055555555556,0.6493055555555556,1.0
2,0.55,0.6493055555555556,0.7341772151898734,0.5486111111111112
2,0.6,0.6493055555555556,0.7664233576642335,0.4756944444444444
2,0.65,0.6493055555555556,0.8053097345132744,0.3923611111111111
2,0.7,0.6493055555555556,0.8172043010752689,0.3229166666666667
3,0.0,0.7638888888888888,0.7638888888888888,1.0
3,0.55,0.7638888888888888,0.8055555555555556,0.875
3,0.6,0.7638888888888888,0.8369098712446352,0.8090277777777778
3,0.65,0.7638888888888888,0.8644859813084113,0.7430555555555556
3,0.7,0.7638888888888888,0.8829787234042553,0.6527777777777778
4,0.0,0.3958333333333333,0.3958333333333333,1.0
4,0.55,0.3958333333333333,0.48717948717948717,0.13541666666666666
4,0.6,0.3958333333333333,0.5384615384615384,0.04513888888888889
4,0.65,0.3958333333333333,1.0,0.013888888888888888
4,0.7,0.3958333333333333,,0.0
5,0.0,0.4097222222222222,0.4097222222222222,1.0
5,0.55,0.4097222222222222,0.6944444444444444,0.125
5,0.6,0.4097222222222222,0.64,0.08680555555555555
5,0.65,0.4097222222222222,0.8333333333333334,0.041666666666666664
5,0.7,0.4097222222222222,0.875,0.027777777777777776
6,0.0,0.4755244755244755,0.4755244755244755,1.0
6,0.55,0.4755244755244755,0.5679012345679012,0.28321678321678323
6,0.6,0.4755244755244755,0.5909090909090909,0.23076923076923078
6,0.65,0.4755244755244755,0.6129032258064516,0.10839160839160839
6,0.7,0.4755244755244755,0.7647058823529411,0.05944055944055944
7,0.0,0.7326388888888888,0.7326388888888888,1.0
7,0.55,0.7326388888888888,0.775,0.8333333333333334
7,0.6,0.7326388888888888,0.771689497716895,0.7604166666666666
7,0.65,0.7326388888888888,0.8131868131868132,0.6319444444444444
7,0.7,0.7326388888888888,0.8012820512820513,0.5416666666666666
8,0.0,0.7419354838709677,0.7419354838709677,1.0
8,0.55,0.7419354838709677,0.8034188034188035,0.8387096774193549
8,0.6,0.7419354838709677,0.8317757009345794,0.7670250896057348
8,0.65,0.7419354838709677,0.8549222797927462,0.6917562724014337
8,0.7,0.7419354838709677,0.8757062146892656,0.6344086021505376
9,0.0,0.5955882352941176,0.5955882352941176,1.0
9,0.55,0.5955882352941176,0.6211180124223602,0.5919117647058824
9,0.6,0.5955882352941176,0.6641221374045801,0.48161764705882354
9,0.65,0.5955882352941176,0.6759259259259259,0.39705882352941174
9,0.7,0.5955882352941176,0.6818181818181818,0.3235294117647059
