bin,bin_lower,bin_upper,count,confidence,accuracy,gap,dataset,subject,decoder
0,0.0,0.1,0,,,,BCI_IV_2a,1,EEGNet
1,0.1,0.2,0,,,,BCI_IV_2a,1,EEGNet
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,1,EEGNet
3,0.30000000000000004,0.4,2,0.3697996862681144,1.0,0.6302003137318857,BCI_IV_2a,1,EEGNet
4,0.4,0.5,10,0.4597299939067835,0.6,0.1402700060932165,BCI_IV_2a,1,EEGNet
5,0.5,0.6000000000000001,62,0.548608241803896,0.6612903225806451,0.11268208077674913,BCI_IV_2a,1,EEGNet
6,0.6000000000000001,0.7000000000000001,56,0.6488089969525058,0.7142857142857143,0.06547671733320848,BCI_IV_2a,1,EEGNet
7,0.7000000000000001,0.8,53,0.756631344030506,0.8490566037735849,0.09242525974307891,BCI_IV_2a,1,EEGNet
8,0.8,0.9,53,0.8466942397708852,0.8679245283018868,0.021230288531001618,BCI_IV_2a,1,EEGNet
9,0.9,1.0,52,0.946359555503724,0.8653846153846154,0.08097494011910855,BCI_IV_2a,1,EEGNet
0,0.0,0.1,0,,,,BCI_IV_2a,2,EEGNet
1,0.1,0.2,0,,,,BCI_IV_2a,2,EEGNet
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,2,EEGNet
3,0.30000000000000004,0.4,40,0.3716859846646831,0.425,0.05331401533531688,BCI_IV_2a,2,EEGNet
4,0.4,0.5,106,0.4522448395486095,0.3113207547169811,0.14092408483162838,BCI_IV_2a,2,EEGNet
5,0.5,0.6000000000000001,61,0.5535797662427508,0.4098360655737705,0.14374370066898035,BCI_IV_2a,2,EEGNet
6,0.6000000000000001,0.7000000000000001,25,0.647410251803388,0.6,0.04741025180338798,BCI_IV_2a,2,EEGNet
7,0.7000000000000001,0.8,7,0.759153220418483,0.5714285714285714,0.1877246489899116,BCI_IV_2a,2,EEGNet
8,0.8,0.9,17,0.8490773619322164,0.7058823529411765,0.14319500899103987,BCI_IV_2a,2,EEGNet
9,0.9,1.0,32,0.9766388431603117,0.9375,0.03913884316031169,BCI_IV_2a,2,EEGNet
0,0.0,0.1,0,,,,BCI_IV_2a,3,EEGNet
1,0.1,0.2,0,,,,BCI_IV_2a,3,EEGNet
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,3,EEGNet
3,0.30000000000000004,0.4,4,0.37415040118373244,0.5,0.12584959881626756,BCI_IV_2a,3,EEGNet
4,0.4,0.5,9,0.4693753710526576,0.3333333333333333,0.13604203771932427,BCI_IV_2a,3,EEGNet
5,0.5,0.6000000000000001,35,0.5489284464199367,0.45714285714285713,0.09178558927707953,BCI_IV_2a,3,EEGNet
6,0.6000000000000001,0.7000000000000001,20,0.6446721289087709,0.65,0.005327871091229119,BCI_IV_2a,3,EEGNet
7,0.7000000000000001,0.8,34,0.739909031988163,0.6176470588235294,0.12226197316463361,BCI_IV_2a,3,EEGNet
8,0.8,0.9,53,0.8576660323171229,0.8301886792452831,0.02747735307183985,BCI_IV_2a,3,EEGNet
9,0.9,1.0,133,0.962214043524733,0.9548872180451128,0.007326825479620269,BCI_IV_2a,3,EEGNet
0,0.0,0.1,0,,,,BCI_IV_2a,4,EEGNet
1,0.1,0.2,0,,,,BCI_IV_2a,4,EEGNet
2,0.2,0.30000000000000004,4,0.28400253380921486,0.0,0.28400253380921486,BCI_IV_2a,4,EEGNet
3,0.30000000000000004,0.4,76,0.3578497279563922,0.3157894736842105,0.042060254272181685,BCI_IV_2a,4,EEGNet
4,0.4,0.5,81,0.4483150654377261,0.48148148148148145,0.033166416043755365,BCI_IV_2a,4,EEGNet
5,0.5,0.6000000000000001,60,0.5407768397030035,0.4666666666666667,0.07411017303633682,BCI_IV_2a,4,EEGNet
6,0.6000000000000001,0.7000000000000001,35,0.6530945033975007,0.5142857142857142,0.1388087891117865,BCI_IV_2a,4,EEGNet
7,0.7000000000000001,0.8,21,0.7341497663556588,0.6666666666666666,0.06748309968899213,BCI_IV_2a,4,EEGNet
8,0.8,0.9,7,0.8634856776009906,0.5714285714285714,0.2920571061724192,BCI_IV_2a,4,EEGNet
9,0.9,1.0,4,0.9485190786418447,1.0,0.051480921358155296,BCI_IV_2a,4,EEGNet
0,0.0,0.1,0,,,,BCI_IV_2a,5,EEGNet
1,0.1,0.2,0,,,,BCI_IV_2a,5,EEGNet
2,0.2,0.30000000000000004,6,0.2911374066652869,0.6666666666666666,0.3755292600013797,BCI_IV_2a,5,EEGNet
3,0.30000000000000004,0.4,141,0.35458194578590774,0.3546099290780142,2.7983292106459334e-05,BCI_IV_2a,5,EEGNet
4,0.4,0.5,82,0.45345799198377995,0.3170731707317073,0.13638482125207263,BCI_IV_2a,5,EEGNet
5,0.5,0.6000000000000001,38,0.5414300013321641,0.5,0.041430001332164124,BCI_IV_2a,5,EEGNet
6,0.6000000000000001,0.7000000000000001,9,0.6390721576662337,0.6666666666666666,0.02759450900043292,BCI_IV_2a,5,EEGNet
7,0.7000000000000001,0.8,7,0.7522569096560091,0.8571428571428571,0.10488594748684799,BCI_IV_2a,5,EEGNet
8,0.8,0.9,4,0.8314517126341743,1.0,0.16854828736582572,BCI_IV_2a,5,EEGNet
9,0.9,1.0,1,0.9503550078085573,0.0,0.9503550078085573,BCI_IV_2a,5,EEGNet
0,0.0,0.1,0,,,,BCI_IV_2a,6,EEGNet
1,0.1,0.2,0,,,,BCI_IV_2a,6,EEGNet
2,0.2,0.30000000000000004,21,0.2867549374980231,0.23809523809523808,0.04865969940278503,BCI_IV_2a,6,EEGNet
3,0.30000000000000004,0.4,144,0.3428500883819885,0.3055555555555556,0.03729453282643291,BCI_IV_2a,6,EEGNet
4,0.4,0.5,94,0.4455706610920487,0.3723404255319149,0.0732302355601338,BCI_IV_2a,6,EEGNet
5,0.5,0.6000000000000001,24,0.5398692714935522,0.4583333333333333,0.08153593816021892,BCI_IV_2a,6,EEGNet
6,0.6000000000000001,0.7000000000000001,5,0.6288277872753445,0.0,0.6288277872753445,BCI_IV_2a,6,EEGNet
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,6,EEGNet
8,0.8,0.9,0,,,,BCI_IV_2a,6,EEGNet
9,0.9,1.0,0,,,,BCI_IV_2a,6,EEGNet
0,0.0,0.1,0,,,,BCI_IV_2a,7,EEGNet
1,0.1,0.2,0,,,,BCI_IV_2a,7,EEGNet
2,0.2,0.30000000000000004,1,0.293204107678059,0.0,0.293204107678059,BCI_IV_2a,7,EEGNet
3,0.30000000000000004,0.4,2,0.3818036311044976,1.0,0.6181963688955023,BCI_IV_2a,7,EEGNet
4,0.4,0.5,10,0.46534689741988144,0.5,0.034653102580118555,BCI_IV_2a,7,EEGNet
5,0.5,0.6000000000000001,71,0.5488860258347118,0.5915492957746479,0.04266326993993608,BCI_IV_2a,7,EEGNet
6,0.6000000000000001,0.7000000000000001,51,0.6496307240898558,0.6078431372549019,0.04178758683495387,BCI_IV_2a,7,EEGNet
7,0.7000000000000001,0.8,49,0.7450326876094153,0.673469387755102,0.07156329985431331,BCI_IV_2a,7,EEGNet
8,0.8,0.9,52,0.8473792057985251,0.7307692307692307,0.11660997502929438,BCI_IV_2a,7,EEGNet
9,0.9,1.0,52,0.9593662868353492,0.9038461538461539,0.05552013298919534,BCI_IV_2a,7,EEGNet
0,0.0,0.1,0,,,,BCI_IV_2a,8,EEGNet
1,0.1,0.2,0,,,,BCI_IV_2a,8,EEGNet
2,0.2,0.30000000000000004,1,0.2958880751099609,0.0,0.2958880751099609,BCI_IV_2a,8,EEGNet
3,0.30000000000000004,0.4,6,0.3744288886119607,0.3333333333333333,0.041095555278627405,BCI_IV_2a,8,EEGNet
4,0.4,0.5,19,0.4569689464023449,0.47368421052631576,0.01671526412397084,BCI_IV_2a,8,EEGNet
5,0.5,0.6000000000000001,51,0.548910749221997,0.6078431372549019,0.0589323880329049,BCI_IV_2a,8,EEGNet
6,0.6000000000000001,0.7000000000000001,44,0.651589230753874,0.7272727272727273,0.07568349651885331,BCI_IV_2a,8,EEGNet
7,0.7000000000000001,0.8,35,0.7499157171977036,0.8285714285714286,0.07865571137372507,BCI_IV_2a,8,EEGNet
8,0.8,0.9,40,0.8530400610366495,0.8,0.05304006103664949,BCI_IV_2a,8,EEGNet
9,0.9,1.0,92,0.9676538087373175,0.8913043478260869,0.07634946091123063,BCI_IV_2a,8,EEGNet
0,0.0,0.1,0,,,,BCI_IV_2a,9,EEGNet
1,0.1,0.2,0,,,,BCI_IV_2a,9,EEGNet
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,9,EEGNet
3,0.30000000000000004,0.4,0,,,,BCI_IV_2a,9,EEGNet
4,0.4,0.5,19,0.46544203666155315,0.631578947368421,0.16613691070686787,BCI_IV_2a,9,EEGNet
5,0.5,0.6000000000000001,27,0.5536720926088966,0.5555555555555556,0.0018834629466589758,BCI_IV_2a,9,EEGNet
6,0.6000000000000001,0.7000000000000001,32,0.6519279663853825,0.6875,0.03557203361461747,BCI_IV_2a,9,EEGNet
7,0.7000000000000001,0.8,42,0.7535327960200995,0.5714285714285714,0.18210422459152809,BCI_IV_2a,9,EEGNet
8,0.8,0.9,41,0.8583733936554183,0.8048780487804879,0.05349534487493046,BCI_IV_2a,9,EEGNet
9,0.9,1.0,103,0.9648906364515187,0.9514563106796117,0.013434325771907063,BCI_IV_2a,9,EEGNet
0,0.0,0.1,0,,,,BCI_IV_2a,1,LDA
1,0.1,0.2,0,,,,BCI_IV_2a,1,LDA
2,0.2,0.30000000000000004,2,0.2871863847572185,0.5,0.21281361524278147,BCI_IV_2a,1,LDA
3,0.30000000000000004,0.4,19,0.3607535751011865,0.15789473684210525,0.20285883825908124,BCI_IV_2a,1,LDA
4,0.4,0.5,73,0.45831483695014,0.589041095890411,0.13072625894027096,BCI_IV_2a,1,LDA
5,0.5,0.6000000000000001,68,0.5453088416136427,0.7941176470588235,0.2488088054451808,BCI_IV_2a,1,LDA
6,0.6000000000000001,0.7000000000000001,74,0.6471425878516803,0.7567567567567568,0.10961416890507647,BCI_IV_2a,1,LDA
7,0.7000000000000001,0.8,36,0.7471398944568589,1.0,0.2528601055431411,BCI_IV_2a,1,LDA
8,0.8,0.9,16,0.826552051529585,1.0,0.173447948470415,BCI_IV_2a,1,LDA
9,0.9,1.0,0,,,,BCI_IV_2a,1,LDA
0,0.0,0.1,0,,,,BCI_IV_2a,2,LDA
1,0.1,0.2,0,,,,BCI_IV_2a,2,LDA
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,2,LDA
3,0.30000000000000004,0.4,0,,,,BCI_IV_2a,2,LDA
4,0.4,0.5,33,0.4789041293670198,0.0,0.4789041293670198,BCI_IV_2a,2,LDA
5,0.5,0.6000000000000001,242,0.550434959180205,0.24793388429752067,0.30250107488268435,BCI_IV_2a,2,LDA
6,0.6000000000000001,0.7000000000000001,13,0.6113327010044786,0.9230769230769231,0.31174422207244457,BCI_IV_2a,2,LDA
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,2,LDA
8,0.8,0.9,0,,,,BCI_IV_2a,2,LDA
9,0.9,1.0,0,,,,BCI_IV_2a,2,LDA
0,0.0,0.1,0,,,,BCI_IV_2a,3,LDA
1,0.1,0.2,0,,,,BCI_IV_2a,3,LDA
2,0.2,0.30000000000000004,1,0.2984318768006686,0.0,0.2984318768006686,BCI_IV_2a,3,LDA
3,0.30000000000000004,0.4,17,0.3695219900555303,0.5882352941176471,0.21871330406211675,BCI_IV_2a,3,LDA
4,0.4,0.5,55,0.4574671452843117,0.5636363636363636,0.1061692183520519,BCI_IV_2a,3,LDA
5,0.5,0.6000000000000001,69,0.5495139256040051,0.6666666666666666,0.11715274106266149,BCI_IV_2a,3,LDA
6,0.6000000000000001,0.7000000000000001,67,0.6529020573384259,0.835820895522388,0.18291883818396215,BCI_IV_2a,3,LDA
7,0.7000000000000001,0.8,57,0.7526208053713611,0.9649122807017544,0.21229147533039328,BCI_IV_2a,3,LDA
8,0.8,0.9,22,0.8397945596734858,1.0,0.16020544032651418,BCI_IV_2a,3,LDA
9,0.9,1.0,0,,,,BCI_IV_2a,3,LDA
0,0.0,0.1,0,,,,BCI_IV_2a,4,LDA
1,0.1,0.2,0,,,,BCI_IV_2a,4,LDA
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,4,LDA
3,0.30000000000000004,0.4,274,0.35066752047468136,0.23722627737226276,0.1134412431024186,BCI_IV_2a,4,LDA
4,0.4,0.5,14,0.4323591679076282,0.5,0.06764083209237182,BCI_IV_2a,4,LDA
5,0.5,0.6000000000000001,0,,,,BCI_IV_2a,4,LDA
6,0.6000000000000001,0.7000000000000001,0,,,,BCI_IV_2a,4,LDA
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,4,LDA
8,0.8,0.9,0,,,,BCI_IV_2a,4,LDA
9,0.9,1.0,0,,,,BCI_IV_2a,4,LDA
0,0.0,0.1,0,,,,BCI_IV_2a,5,LDA
1,0.1,0.2,0,,,,BCI_IV_2a,5,LDA
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,5,LDA
3,0.30000000000000004,0.4,1,0.3990797563062235,0.0,0.3990797563062235,BCI_IV_2a,5,LDA
4,0.4,0.5,287,0.4377701691593406,0.30662020905923343,0.13114996010010715,BCI_IV_2a,5,LDA
5,0.5,0.6000000000000001,0,,,,BCI_IV_2a,5,LDA
6,0.6000000000000001,0.7000000000000001,0,,,,BCI_IV_2a,5,LDA
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,5,LDA
8,0.8,0.9,0,,,,BCI_IV_2a,5,LDA
9,0.9,1.0,0,,,,BCI_IV_2a,5,LDA
0,0.0,0.1,0,,,,BCI_IV_2a,6,LDA
1,0.1,0.2,0,,,,BCI_IV_2a,6,LDA
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,6,LDA
3,0.30000000000000004,0.4,0,,,,BCI_IV_2a,6,LDA
4,0.4,0.5,34,0.4866247816137322,0.029411764705882353,0.4572130169078498,BCI_IV_2a,6,LDA
5,0.5,0.6000000000000001,238,0.5453393974514796,0.27310924369747897,0.27223015375400067,BCI_IV_2a,6,LDA
6,0.6000000000000001,0.7000000000000001,16,0.6121262464400267,0.375,0.23712624644002667,BCI_IV_2a,6,LDA
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,6,LDA
8,0.8,0.9,0,,,,BCI_IV_2a,6,LDA
9,0.9,1.0,0,,,,BCI_IV_2a,6,LDA
0,0.0,0.1,0,,,,BCI_IV_2a,7,LDA
1,0.1,0.2,0,,,,BCI_IV_2a,7,LDA
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,7,LDA
3,0.30000000000000004,0.4,152,0.37314972890126114,0.18421052631578946,0.18893920258547167,BCI_IV_2a,7,LDA
4,0.4,0.5,105,0.44197759819551297,0.4666666666666667,0.024689068471153708,BCI_IV_2a,7,LDA
5,0.5,0.6000000000000001,31,0.534319266933413,0.967741935483871,0.43342266855045797,BCI_IV_2a,7,LDA
6,0.6000000000000001,0.7000000000000001,0,,,,BCI_IV_2a,7,LDA
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,7,LDA
8,0.8,0.9,0,,,,BCI_IV_2a,7,LDA
9,0.9,1.0,0,,,,BCI_IV_2a,7,LDA
0,0.0,0.1,0,,,,BCI_IV_2a,8,LDA
1,0.1,0.2,0,,,,BCI_IV_2a,8,LDA
2,0.2,0.30000000000000004,11,0.2904931118396485,0.2727272727272727,0.01776583911237578,BCI_IV_2a,8,LDA
3,0.30000000000000004,0.4,118,0.36074274621010827,0.5169491525423728,0.15620640633226457,BCI_IV_2a,8,LDA
4,0.4,0.5,122,0.4377435878205067,0.6885245901639344,0.2507810023434277,BCI_IV_2a,8,LDA
5,0.5,0.6000000000000001,24,0.5486773659208802,0.75,0.20132263407911977,BCI_IV_2a,8,LDA
6,0.6000000000000001,0.7000000000000001,12,0.6291136340208366,0.8333333333333334,0.20421969931249673,BCI_IV_2a,8,LDA
7,0.7000000000000001,0.8,1,0.7328351015531653,1.0,0.26716489844683466,BCI_IV_2a,8,LDA
8,0.8,0.9,0,,,,BCI_IV_2a,8,LDA
9,0.9,1.0,0,,,,BCI_IV_2a,8,LDA
0,0.0,0.1,0,,,,BCI_IV_2a,9,LDA
1,0.1,0.2,0,,,,BCI_IV_2a,9,LDA
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,9,LDA
3,0.30000000000000004,0.4,214,0.3558180164743357,0.3411214953271028,0.01469652114723291,BCI_IV_2a,9,LDA
4,0.4,0.5,50,0.422960185901257,0.56,0.13703981409874305,BCI_IV_2a,9,LDA
5,0.5,0.6000000000000001,0,,,,BCI_IV_2a,9,LDA
6,0.6000000000000001,0.7000000000000001,0,,,,BCI_IV_2a,9,LDA
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,9,LDA
8,0.8,0.9,0,,,,BCI_IV_2a,9,LDA
9,0.9,1.0,0,,,,BCI_IV_2a,9,LDA
0,0.0,0.1,0,,,,BCI_IV_2a,1,ensemble
1,0.1,0.2,0,,,,BCI_IV_2a,1,ensemble
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,1,ensemble
3,0.30000000000000004,0.4,4,0.376593715344676,0.0,0.376593715344676,BCI_IV_2a,1,ensemble
4,0.4,0.5,36,0.47294953120664385,0.4722222222222222,0.0007273089844216374,BCI_IV_2a,1,ensemble
5,0.5,0.6000000000000001,80,0.5450571483678172,0.6,0.05494285163218282,BCI_IV_2a,1,ensemble
6,0.6000000000000001,0.7000000000000001,93,0.6524211998827248,0.9247311827956989,0.27230998291297404,BCI_IV_2a,1,ensemble
7,0.7000000000000001,0.8,72,0.7467423819322243,0.9861111111111112,0.23936872917888685,BCI_IV_2a,1,ensemble
8,0.8,0.9,3,0.8187917503226446,1.0,0.18120824967735538,BCI_IV_2a,1,ensemble
9,0.9,1.0,0,,,,BCI_IV_2a,1,ensemble
0,0.0,0.1,0,,,,BCI_IV_2a,2,ensemble
1,0.1,0.2,0,,,,BCI_IV_2a,2,ensemble
2,0.2,0.30000000000000004,107,0.2890606328512125,0.308411214953271,0.019350582102058533,BCI_IV_2a,2,ensemble
3,0.30000000000000004,0.4,168,0.32364127377571766,0.5059523809523809,0.18231110717666327,BCI_IV_2a,2,ensemble
4,0.4,0.5,12,0.44580851244021535,1.0,0.5541914875597846,BCI_IV_2a,2,ensemble
5,0.5,0.6000000000000001,1,0.5364601840662544,1.0,0.4635398159337456,BCI_IV_2a,2,ensemble
6,0.6000000000000001,0.7000000000000001,0,,,,BCI_IV_2a,2,ensemble
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,2,ensemble
8,0.8,0.9,0,,,,BCI_IV_2a,2,ensemble
9,0.9,1.0,0,,,,BCI_IV_2a,2,ensemble
0,0.0,0.1,0,,,,BCI_IV_2a,3,ensemble
1,0.1,0.2,0,,,,BCI_IV_2a,3,ensemble
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,3,ensemble
3,0.30000000000000004,0.4,3,0.37387612184456387,0.3333333333333333,0.040542788511230554,BCI_IV_2a,3,ensemble
4,0.4,0.5,28,0.4613976265135237,0.5714285714285714,0.11003094491504772,BCI_IV_2a,3,ensemble
5,0.5,0.6000000000000001,56,0.5536064915975082,0.7321428571428571,0.1785363655453489,BCI_IV_2a,3,ensemble
6,0.6000000000000001,0.7000000000000001,82,0.6577494408933127,0.926829268292683,0.2690798273993703,BCI_IV_2a,3,ensemble
