dataset,subject,decoder,n_trials,accuracy_all,mean_confidence,ece,brier
BCI_IV_2a,1,EEGNet,288,0.78125,0.7287182880571296,0.08177266254143739,0.3455673406520678
BCI_IV_2a,2,EEGNet,288,0.4722222222222222,0.5686105732345121,0.1111977997165445,0.6226230229563039
BCI_IV_2a,3,EEGNet,288,0.7847222222222222,0.8208840025565161,0.04039758461963858,0.2931048055368825
BCI_IV_2a,4,EEGNet,288,0.4548611111111111,0.504189753169147,0.06941477667593045,0.6439607232110903
BCI_IV_2a,5,EEGNet,288,0.3993055555555556,0.4333138327570497,0.061187906139483245,0.6968463973922978
BCI_IV_2a,6,EEGNet,288,0.3298611111111111,0.3936698264213173,0.0638087153102062,0.7364508799842631
BCI_IV_2a,7,EEGNet,288,0.6875,0.7231587583915134,0.06768664678962215,0.4130127541898938
BCI_IV_2a,8,EEGNet,288,0.7534722222222222,0.754451557983116,0.0662999298785571,0.36761973827601985
BCI_IV_2a,9,EEGNet,264,0.7727272727272727,0.7987865994263815,0.05898175002227575,0.3362190052139845
BCI_IV_2a,1,LDA,288,0.7256944444444444,0.5763093595467692,0.17615118161241516,0.4091934881538396
BCI_IV_2a,2,LDA,288,0.25,0.5449875746659011,0.3231311502696633,0.8469666274994974
BCI_IV_2a,3,LDA,288,0.7638888888888888,0.6068637625892951,0.1590975698884873,0.37285278547248474
BCI_IV_2a,4,LDA,288,0.25,0.35463864222489405,0.11121483423387467,0.7596759025344141
BCI_IV_2a,5,LDA,288,0.3055555555555556,0.437635827448045,0.1320802718924895,0.8769270409169325
BCI_IV_2a,6,LDA,288,0.25,0.5421181913588872,0.29211819135888706,0.8584547986728084
BCI_IV_2a,7,LDA,288,0.3715277777777778,0.4155913329113068,0.1553722698178022,0.6165127397536454
BCI_IV_2a,8,LDA,288,0.6145833333333334,0.4188133385035939,0.19712710753971252,0.5811168621965376
BCI_IV_2a,9,LDA,264,0.38257575757575757,0.36853433644155564,0.037867599357746196,0.7288094446618675
BCI_IV_2a,1,ensemble,288,0.78125,0.6216462784493915,0.17024648533406603,0.3379256977792202
BCI_IV_2a,2,ensemble,288,0.4548611111111111,0.31662286125954564,0.13823824985156546,0.7096513709815171
BCI_IV_2a,3,ensemble,288,0.8611111111111112,0.660105779501118,0.20184997303731048,0.27259779894700104
BCI_IV_2a,4,ensemble,288,0.3055555555555556,0.31677628125608115,0.0928202475728822,0.7231270960965522
BCI_IV_2a,5,ensemble,288,0.2951388888888889,0.37496691452297004,0.07982802563408115,0.7769229826249933
BCI_IV_2a,6,ensemble,288,0.2708333333333333,0.38649766297127314,0.12279070388521747,0.7161308777907299
BCI_IV_2a,7,ensemble,288,0.7291666666666666,0.45980592003065407,0.26936074663601256,0.5172563231952081
BCI_IV_2a,8,ensemble,288,0.5486111111111112,0.4518294714553181,0.12114308520464838,0.5962735841553682
BCI_IV_2a,9,ensemble,264,0.4772727272727273,0.4133136203128527,0.07404703390329925,0.6717241122722477
