dataset,subject,decoder,threshold,coverage,risk,accuracy,n_covered
BCI_IV_2a,1,EEGNet,0.0,1.0,0.21875,0.78125,288
BCI_IV_2a,1,EEGNet,0.05,1.0,0.21875,0.78125,288
BCI_IV_2a,1,EEGNet,0.1,1.0,0.21875,0.78125,288
BCI_IV_2a,1,EEGNet,0.15,1.0,0.21875,0.78125,288
BCI_IV_2a,1,EEGNet,0.2,1.0,0.21875,0.78125,288
BCI_IV_2a,1,EEGNet,0.25,1.0,0.21875,0.78125,288
BCI_IV_2a,1,EEGNet,0.3,1.0,0.21875,0.78125,288
BCI_IV_2a,1,EEGNet,0.35,0.9965277777777778,0.21951219512195122,0.7804878048780488,287
BCI_IV_2a,1,EEGNet,0.4,0.9930555555555556,0.2202797202797203,0.7797202797202797,286
BCI_IV_2a,1,EEGNet,0.45,0.9826388888888888,0.2226148409893993,0.7773851590106007,283
BCI_IV_2a,1,EEGNet,0.5,0.9583333333333334,0.213768115942029,0.7862318840579711,276
BCI_IV_2a,1,EEGNet,0.55,0.8506944444444444,0.19591836734693877,0.8040816326530612,245
BCI_IV_2a,1,EEGNet,0.6,0.7430555555555556,0.17757009345794392,0.822429906542056,214
BCI_IV_2a,1,EEGNet,0.65,0.6388888888888888,0.14673913043478262,0.8532608695652174,184
BCI_IV_2a,1,EEGNet,0.7,0.5486111111111112,0.13924050632911392,0.8607594936708861,158
BCI_IV_2a,1,EEGNet,0.75,0.4722222222222222,0.1323529411764706,0.8676470588235294,136
BCI_IV_2a,1,EEGNet,0.8,0.3645833333333333,0.13333333333333333,0.8666666666666667,105
BCI_IV_2a,1,EEGNet,0.85,0.2604166666666667,0.14666666666666667,0.8533333333333334,75
BCI_IV_2a,1,EEGNet,0.9,0.18055555555555555,0.1346153846153846,0.8653846153846154,52
BCI_IV_2a,1,EEGNet,0.95,0.08333333333333333,0.16666666666666666,0.8333333333333334,24
BCI_IV_2a,1,EEGNet,1.0,0.0,,,0
BCI_IV_2a,2,EEGNet,0.0,1.0,0.5277777777777778,0.4722222222222222,288
BCI_IV_2a,2,EEGNet,0.05,1.0,0.5277777777777778,0.4722222222222222,288
BCI_IV_2a,2,EEGNet,0.1,1.0,0.5277777777777778,0.4722222222222222,288
BCI_IV_2a,2,EEGNet,0.15,1.0,0.5277777777777778,0.4722222222222222,288
BCI_IV_2a,2,EEGNet,0.2,1.0,0.5277777777777778,0.4722222222222222,288
BCI_IV_2a,2,EEGNet,0.25,1.0,0.5277777777777778,0.4722222222222222,288
BCI_IV_2a,2,EEGNet,0.3,1.0,0.5277777777777778,0.4722222222222222,288
BCI_IV_2a,2,EEGNet,0.35,0.9756944444444444,0.5231316725978647,0.47686832740213525,281
BCI_IV_2a,2,EEGNet,0.4,0.8611111111111112,0.5201612903225806,0.4798387096774194,248
BCI_IV_2a,2,EEGNet,0.45,0.6944444444444444,0.47,0.53,200
BCI_IV_2a,2,EEGNet,0.5,0.4930555555555556,0.39436619718309857,0.6056338028169014,142
BCI_IV_2a,2,EEGNet,0.55,0.3888888888888889,0.36607142857142855,0.6339285714285714,112
BCI_IV_2a,2,EEGNet,0.6,0.28125,0.24691358024691357,0.7530864197530864,81
BCI_IV_2a,2,EEGNet,0.65,0.23958333333333334,0.21739130434782608,0.782608695652174,69
BCI_IV_2a,2,EEGNet,0.7,0.19444444444444445,0.17857142857142858,0.8214285714285714,56
BCI_IV_2a,2,EEGNet,0.75,0.1875,0.18518518518518517,0.8148148148148148,54
BCI_IV_2a,2,EEGNet,0.8,0.1701388888888889,0.14285714285714285,0.8571428571428571,49
BCI_IV_2a,2,EEGNet,0.85,0.1388888888888889,0.15,0.85,40
BCI_IV_2a,2,EEGNet,0.9,0.1111111111111111,0.0625,0.9375,32
BCI_IV_2a,2,EEGNet,0.95,0.10069444444444445,0.06896551724137931,0.9310344827586207,29
BCI_IV_2a,2,EEGNet,1.0,0.0,,,0
BCI_IV_2a,3,EEGNet,0.0,1.0,0.2152777777777778,0.7847222222222222,288
BCI_IV_2a,3,EEGNet,0.05,1.0,0.2152777777777778,0.7847222222222222,288
BCI_IV_2a,3,EEGNet,0.1,1.0,0.2152777777777778,0.7847222222222222,288
BCI_IV_2a,3,EEGNet,0.15,1.0,0.2152777777777778,0.7847222222222222,288
BCI_IV_2a,3,EEGNet,0.2,1.0,0.2152777777777778,0.7847222222222222,288
BCI_IV_2a,3,EEGNet,0.25,1.0,0.2152777777777778,0.7847222222222222,288
BCI_IV_2a,3,EEGNet,0.3,1.0,0.2152777777777778,0.7847222222222222,288
BCI_IV_2a,3,EEGNet,0.35,0.9965277777777778,0.21602787456445993,0.7839721254355401,287
BCI_IV_2a,3,EEGNet,0.4,0.9861111111111112,0.2112676056338028,0.7887323943661971,284
BCI_IV_2a,3,EEGNet,0.45,0.9791666666666666,0.20921985815602837,0.7907801418439716,282
