dataset,subject,pipeline,fold,score,n_train,n_test
physionetmi,1,CSP+LDA,1,0.3333333333333333,36,9
physionetmi,1,CSP+LDA,2,0.6666666666666666,36,9
physionetmi,1,CSP+LDA,3,0.8888888888888888,36,9
physionetmi,1,CSP+LDA,4,0.6666666666666666,36,9
physionetmi,1,CSP+LDA,5,0.8888888888888888,36,9
physionetmi,1,CSP+SVM,1,0.3333333333333333,36,9
physionetmi,1,CSP+SVM,2,0.7777777777777778,36,9
physionetmi,1,CSP+SVM,3,0.6666666666666666,36,9
physionetmi,1,CSP+SVM,4,0.7777777777777778,36,9
physionetmi,1,CSP+SVM,5,1.0,36,9
physionetmi,2,CSP+LDA,1,0.8888888888888888,36,9
physionetmi,2,CSP+LDA,2,0.5555555555555556,36,9
physionetmi,2,CSP+LDA,3,1.0,36,9
physionetmi,2,CSP+LDA,4,0.8888888888888888,36,9
physionetmi,2,CSP+LDA,5,0.8888888888888888,36,9
physionetmi,2,CSP+SVM,1,0.7777777777777778,36,9
physionetmi,2,CSP+SVM,2,0.7777777777777778,36,9
physionetmi,2,CSP+SVM,3,0.8888888888888888,36,9
physionetmi,2,CSP+SVM,4,0.7777777777777778,36,9
physionetmi,2,CSP+SVM,5,1.0,36,9
physionetmi,3,CSP+LDA,1,0.5555555555555556,36,9
physionetmi,3,CSP+LDA,2,0.3333333333333333,36,9
physionetmi,3,CSP+LDA,3,0.5555555555555556,36,9
physionetmi,3,CSP+LDA,4,0.3333333333333333,36,9
physionetmi,3,CSP+LDA,5,0.4444444444444444,36,9
physionetmi,3,CSP+SVM,1,0.4444444444444444,36,9
physionetmi,3,CSP+SVM,2,0.4444444444444444,36,9
physionetmi,3,CSP+SVM,3,0.6666666666666666,36,9
physionetmi,3,CSP+SVM,4,0.3333333333333333,36,9
physionetmi,3,CSP+SVM,5,0.5555555555555556,36,9
physionetmi,4,CSP+LDA,1,0.3333333333333333,36,9
physionetmi,4,CSP+LDA,2,0.6666666666666666,36,9
physionetmi,4,CSP+LDA,3,1.0,36,9
physionetmi,4,CSP+LDA,4,0.3333333333333333,36,9
physionetmi,4,CSP+LDA,5,0.7777777777777778,36,9
physionetmi,4,CSP+SVM,1,0.3333333333333333,36,9
physionetmi,4,CSP+SVM,2,0.5555555555555556,36,9
physionetmi,4,CSP+SVM,3,0.7777777777777778,36,9
physionetmi,4,CSP+SVM,4,0.5555555555555556,36,9
physionetmi,4,CSP+SVM,5,0.5555555555555556,36,9
physionetmi,5,CSP+LDA,1,0.4444444444444444,36,9
physionetmi,5,CSP+LDA,2,0.3333333333333333,36,9
physionetmi,5,CSP+LDA,3,0.4444444444444444,36,9
physionetmi,5,CSP+LDA,4,0.5555555555555556,36,9
physionetmi,5,CSP+LDA,5,0.2222222222222222,36,9
physionetmi,5,CSP+SVM,1,0.3333333333333333,36,9
physionetmi,5,CSP+SVM,2,0.2222222222222222,36,9
physionetmi,5,CSP+SVM,3,0.4444444444444444,36,9
physionetmi,5,CSP+SVM,4,0.5555555555555556,36,9
physionetmi,5,CSP+SVM,5,0.3333333333333333,36,9
physionetmi,6,CSP+LDA,1,0.6666666666666666,36,9
physionetmi,6,CSP+LDA,2,0.3333333333333333,36,9
physionetmi,6,CSP+LDA,3,0.4444444444444444,36,9
physionetmi,6,CSP+LDA,4,0.4444444444444444,36,9
physionetmi,6,CSP+LDA,5,0.7777777777777778,36,9
physionetmi,6,CSP+SVM,1,0.5555555555555556,36,9
physionetmi,6,CSP+SVM,2,0.4444444444444444,36,9
physionetmi,6,CSP+SVM,3,0.2222222222222222,36,9
physionetmi,6,CSP+SVM,4,0.5555555555555556,36,9
physionetmi,6,CSP+SVM,5,0.5555555555555556,36,9
physionetmi,7,CSP+LDA,1,1.0,36,9
physionetmi,7,CSP+LDA,2,0.8888888888888888,36,9
physionetmi,7,CSP+LDA,3,0.8888888888888888,36,9
physionetmi,7,CSP+LDA,4,1.0,36,9
physionetmi,7,CSP+LDA,5,1.0,36,9
physionetmi,7,CSP+SVM,1,1.0,36,9
physionetmi,7,CSP+SVM,2,1.0,36,9
physionetmi,7,CSP+SVM,3,0.8888888888888888,36,9
physionetmi,7,CSP+SVM,4,1.0,36,9
physionetmi,7,CSP+SVM,5,1.0,36,9
physionetmi,8,CSP+LDA,1,0.4444444444444444,36,9
physionetmi,8,CSP+LDA,2,0.4444444444444444,36,9
physionetmi,8,CSP+LDA,3,0.3333333333333333,36,9
physionetmi,8,CSP+LDA,4,0.5555555555555556,36,9
physionetmi,8,CSP+LDA,5,0.7777777777777778,36,9
physionetmi,8,CSP+SVM,1,0.4444444444444444,36,9
physionetmi,8,CSP+SVM,2,0.3333333333333333,36,9
physionetmi,8,CSP+SVM,3,0.3333333333333333,36,9
physionetmi,8,CSP+SVM,4,0.4444444444444444,36,9
physionetmi,8,CSP+SVM,5,0.5555555555555556,36,9
physionetmi,9,CSP+LDA,1,0.4444444444444444,36,9
physionetmi,9,CSP+LDA,2,0.7777777777777778,36,9
physionetmi,9,CSP+LDA,3,0.5555555555555556,36,9
physionetmi,9,CSP+LDA,4,0.5555555555555556,36,9
physionetmi,9,CSP+LDA,5,0.6666666666666666,36,9
physionetmi,9,CSP+SVM,1,0.5555555555555556,36,9
physionetmi,9,CSP+SVM,2,0.5555555555555556,36,9
physionetmi,9,CSP+SVM,3,0.5555555555555556,36,9
physionetmi,9,CSP+SVM,4,0.4444444444444444,36,9
physionetmi,9,CSP+SVM,5,0.6666666666666666,36,9
physionetmi,10,CSP+LDA,1,0.6666666666666666,36,9
physionetmi,10,CSP+LDA,2,0.4444444444444444,36,9
physionetmi,10,CSP+LDA,3,0.7777777777777778,36,9
physionetmi,10,CSP+LDA,4,0.5555555555555556,36,9
physionetmi,10,CSP+LDA,5,0.6666666666666666,36,9
physionetmi,10,CSP+SVM,1,0.7777777777777778,36,9
physionetmi,10,CSP+SVM,2,0.2222222222222222,36,9
physionetmi,10,CSP+SVM,3,0.2222222222222222,36,9
physionetmi,10,CSP+SVM,4,0.5555555555555556,36,9
physionetmi,10,CSP+SVM,5,0.6666666666666666,36,9
