dataset,subject,decoder,threshold,coverage,risk,accuracy,n_covered
Cho2017,1,LDA,0.0,1.0,0.44285714285714284,0.5571428571428572,70
Cho2017,1,LDA,0.05,1.0,0.44285714285714284,0.5571428571428572,70
Cho2017,1,LDA,0.1,1.0,0.44285714285714284,0.5571428571428572,70
Cho2017,1,LDA,0.15,1.0,0.44285714285714284,0.5571428571428572,70
Cho2017,1,LDA,0.2,1.0,0.44285714285714284,0.5571428571428572,70
Cho2017,1,LDA,0.25,1.0,0.44285714285714284,0.5571428571428572,70
Cho2017,1,LDA,0.3,1.0,0.44285714285714284,0.5571428571428572,70
Cho2017,1,LDA,0.35,1.0,0.44285714285714284,0.5571428571428572,70
Cho2017,1,LDA,0.4,1.0,0.44285714285714284,0.5571428571428572,70
Cho2017,1,LDA,0.45,1.0,0.44285714285714284,0.5571428571428572,70
Cho2017,1,LDA,0.5,1.0,0.44285714285714284,0.5571428571428572,70
Cho2017,1,LDA,0.55,0.7,0.3877551020408163,0.6122448979591837,49
Cho2017,1,LDA,0.6,0.4142857142857143,0.3448275862068966,0.6551724137931034,29
Cho2017,1,LDA,0.65,0.2,0.2857142857142857,0.7142857142857143,14
Cho2017,1,LDA,0.7,0.08571428571428572,0.16666666666666666,0.8333333333333334,6
Cho2017,1,LDA,0.75,0.02857142857142857,0.0,1.0,2
Cho2017,1,LDA,0.8,0.0,,,0
Cho2017,1,LDA,0.85,0.0,,,0
Cho2017,1,LDA,0.9,0.0,,,0
Cho2017,1,LDA,0.95,0.0,,,0
Cho2017,1,LDA,1.0,0.0,,,0
Cho2017,1,ensemble,0.0,1.0,0.34285714285714286,0.6571428571428571,70
Cho2017,1,ensemble,0.05,1.0,0.34285714285714286,0.6571428571428571,70
Cho2017,1,ensemble,0.1,1.0,0.34285714285714286,0.6571428571428571,70
Cho2017,1,ensemble,0.15,1.0,0.34285714285714286,0.6571428571428571,70
Cho2017,1,ensemble,0.2,1.0,0.34285714285714286,0.6571428571428571,70
Cho2017,1,ensemble,0.25,1.0,0.34285714285714286,0.6571428571428571,70
Cho2017,1,ensemble,0.3,1.0,0.34285714285714286,0.6571428571428571,70
Cho2017,1,ensemble,0.35,1.0,0.34285714285714286,0.6571428571428571,70
Cho2017,1,ensemble,0.4,1.0,0.34285714285714286,0.6571428571428571,70
Cho2017,1,ensemble,0.45,1.0,0.34285714285714286,0.6571428571428571,70
Cho2017,1,ensemble,0.5,1.0,0.34285714285714286,0.6571428571428571,70
Cho2017,1,ensemble,0.55,0.7571428571428571,0.32075471698113206,0.6792452830188679,53
Cho2017,1,ensemble,0.6,0.37142857142857144,0.2692307692307692,0.7307692307692307,26
Cho2017,1,ensemble,0.65,0.14285714285714285,0.2,0.8,10
Cho2017,1,ensemble,0.7,0.05714285714285714,0.0,1.0,4
Cho2017,1,ensemble,0.75,0.0,,,0
Cho2017,1,ensemble,0.8,0.0,,,0
Cho2017,1,ensemble,0.85,0.0,,,0
Cho2017,1,ensemble,0.9,0.0,,,0
Cho2017,1,ensemble,0.95,0.0,,,0
Cho2017,1,ensemble,1.0,0.0,,,0
PhysionetMI,1,LDA,0.0,1.0,0.26666666666666666,0.7333333333333333,15
PhysionetMI,1,LDA,0.05,1.0,0.26666666666666666,0.7333333333333333,15
PhysionetMI,1,LDA,0.1,1.0,0.26666666666666666,0.7333333333333333,15
PhysionetMI,1,LDA,0.15,1.0,0.26666666666666666,0.7333333333333333,15
PhysionetMI,1,LDA,0.2,1.0,0.26666666666666666,0.7333333333333333,15
PhysionetMI,1,LDA,0.25,1.0,0.26666666666666666,0.7333333333333333,15
PhysionetMI,1,LDA,0.3,1.0,0.26666666666666666,0.7333333333333333,15
PhysionetMI,1,LDA,0.35,1.0,0.26666666666666666,0.7333333333333333,15
PhysionetMI,1,LDA,0.4,1.0,0.26666666666666666,0.7333333333333333,15
PhysionetMI,1,LDA,0.45,1.0,0.26666666666666666,0.7333333333333333,15
PhysionetMI,1,LDA,0.5,1.0,0.26666666666666666,0.7333333333333333,15
PhysionetMI,1,LDA,0.55,0.8,0.25,0.75,12
PhysionetMI,1,LDA,0.6,0.5333333333333333,0.25,0.75,8
PhysionetMI,1,LDA,0.65,0.13333333333333333,1.0,0.0,2
PhysionetMI,1,LDA,0.7,0.0,,,0
PhysionetMI,1,LDA,0.75,0.0,,,0
PhysionetMI,1,LDA,0.8,0.0,,,0
PhysionetMI,1,LDA,0.85,0.0,,,0
PhysionetMI,1,LDA,0.9,0.0,,,0
PhysionetMI,1,LDA,0.95,0.0,,,0
PhysionetMI,1,LDA,1.0,0.0,,,0
PhysionetMI,1,ensemble,0.0,1.0,0.2,0.8,15
PhysionetMI,1,ensemble,0.05,1.0,0.2,0.8,15
PhysionetMI,1,ensemble,0.1,1.0,0.2,0.8,15
PhysionetMI,1,ensemble,0.15,1.0,0.2,0.8,15
PhysionetMI,1,ensemble,0.2,1.0,0.2,0.8,15
PhysionetMI,1,ensemble,0.25,1.0,0.2,0.8,15
PhysionetMI,1,ensemble,0.3,1.0,0.2,0.8,15
PhysionetMI,1,ensemble,0.35,1.0,0.2,0.8,15
PhysionetMI,1,ensemble,0.4,1.0,0.2,0.8,15
PhysionetMI,1,ensemble,0.45,1.0,0.2,0.8,15
PhysionetMI,1,ensemble,0.5,1.0,0.2,0.8,15
PhysionetMI,1,ensemble,0.55,0.6666666666666666,0.0,1.0,10
PhysionetMI,1,ensemble,0.6,0.5333333333333333,0.0,1.0,8
PhysionetMI,1,ensemble,0.65,0.3333333333333333,0.0,1.0,5
PhysionetMI,1,ensemble,0.7,0.13333333333333333,0.0,1.0,2
PhysionetMI,1,ensemble,0.75,0.0,,,0
PhysionetMI,1,ensemble,0.8,0.0,,,0
PhysionetMI,1,ensemble,0.85,0.0,,,0
PhysionetMI,1,ensemble,0.9,0.0,,,0
PhysionetMI,1,ensemble,0.95,0.0,,,0
PhysionetMI,1,ensemble,1.0,0.0,,,0
