bin,bin_lower,bin_upper,count,confidence,accuracy,gap,dataset,subject,decoder
0,0.0,0.1,0,,,,Cho2017,1,LDA
1,0.1,0.2,0,,,,Cho2017,1,LDA
2,0.2,0.30000000000000004,0,,,,Cho2017,1,LDA
3,0.30000000000000004,0.4,0,,,,Cho2017,1,LDA
4,0.4,0.5,0,,,,Cho2017,1,LDA
5,0.5,0.6000000000000001,41,0.548360163293646,0.4878048780487805,0.06055528524486553,Cho2017,1,LDA
6,0.6000000000000001,0.7000000000000001,23,0.6433613233970157,0.6086956521739131,0.0346656712231026,Cho2017,1,LDA
7,0.7000000000000001,0.8,6,0.7342728190983019,0.8333333333333334,0.09906051423503148,Cho2017,1,LDA
8,0.8,0.9,0,,,,Cho2017,1,LDA
9,0.9,1.0,0,,,,Cho2017,1,LDA
0,0.0,0.1,0,,,,Cho2017,1,ensemble
1,0.1,0.2,0,,,,Cho2017,1,ensemble
2,0.2,0.30000000000000004,0,,,,Cho2017,1,ensemble
3,0.30000000000000004,0.4,0,,,,Cho2017,1,ensemble
4,0.4,0.5,0,,,,Cho2017,1,ensemble
5,0.5,0.6000000000000001,44,0.5552665415514547,0.6136363636363636,0.05836982208490893,Cho2017,1,ensemble
6,0.6000000000000001,0.7000000000000001,22,0.63859157198939,0.6818181818181818,0.043226609828791784,Cho2017,1,ensemble
7,0.7000000000000001,0.8,4,0.7257900728921813,1.0,0.27420992710781866,Cho2017,1,ensemble
8,0.8,0.9,0,,,,Cho2017,1,ensemble
9,0.9,1.0,0,,,,Cho2017,1,ensemble
