dataset,subject,model,uncertainty_score,target_coverage,coverage,score_cutoff,selective_accuracy,selective_risk
BCI_IV_2a,1,v1_lda,max-prob,0.4,0.4027777777777778,0.61150547949061,0.8620689655172413,0.13793103448275867
BCI_IV_2a,1,v1_lda,max-prob,0.6,0.6006944444444444,0.5210926279241729,0.8439306358381503,0.1560693641618497
BCI_IV_2a,1,v1_lda,max-prob,0.8,0.8020833333333334,0.46320136241756343,0.8008658008658008,0.19913419913419916
BCI_IV_2a,2,v1_lda,max-prob,0.4,0.4027777777777778,0.5561982782373482,0.47413793103448276,0.5258620689655172
BCI_IV_2a,2,v1_lda,max-prob,0.6,0.6006944444444444,0.5382465206701723,0.3468208092485549,0.653179190751445
BCI_IV_2a,2,v1_lda,max-prob,0.8,0.8020833333333334,0.5135028504637553,0.30735930735930733,0.6926406926406927
BCI_IV_2a,3,v1_lda,max-prob,0.4,0.4027777777777778,0.6537994318953156,0.9482758620689655,0.051724137931034475
BCI_IV_2a,3,v1_lda,max-prob,0.6,0.6006944444444444,0.5615467936432907,0.8901734104046243,0.10982658959537572
BCI_IV_2a,3,v1_lda,max-prob,0.8,0.8020833333333334,0.4792332809033641,0.8225108225108225,0.17748917748917747
BCI_IV_2a,4,v1_lda,max-prob,0.4,0.4027777777777778,0.35146765558592297,0.3706896551724138,0.6293103448275862
BCI_IV_2a,4,v1_lda,max-prob,0.6,0.6006944444444444,0.3431574607888604,0.3236994219653179,0.676300578034682
BCI_IV_2a,4,v1_lda,max-prob,0.8,0.8020833333333334,0.33802572615142434,0.2857142857142857,0.7142857142857143
BCI_IV_2a,5,v1_lda,max-prob,0.4,0.4027777777777778,0.4397382954156462,0.3448275862068966,0.6551724137931034
BCI_IV_2a,5,v1_lda,max-prob,0.6,0.6006944444444444,0.432667704011234,0.31213872832369943,0.6878612716763006
BCI_IV_2a,5,v1_lda,max-prob,0.8,0.8020833333333334,0.42603667034481685,0.2987012987012987,0.7012987012987013
BCI_IV_2a,6,v1_lda,max-prob,0.4,0.4027777777777778,0.5513657381852063,0.3620689655172414,0.6379310344827587
BCI_IV_2a,6,v1_lda,max-prob,0.6,0.6006944444444444,0.5319333922711972,0.3236994219653179,0.676300578034682
BCI_IV_2a,6,v1_lda,max-prob,0.8,0.8020833333333334,0.5128326484825559,0.29004329004329005,0.7099567099567099
BCI_IV_2a,7,v1_lda,max-prob,0.4,0.4027777777777778,0.4152344472852049,0.6293103448275862,0.3706896551724138
BCI_IV_2a,7,v1_lda,max-prob,0.6,0.6006944444444444,0.38670282893413505,0.5144508670520231,0.48554913294797686
BCI_IV_2a,7,v1_lda,max-prob,0.8,0.8020833333333334,0.36829728265363,0.43722943722943725,0.5627705627705628
BCI_IV_2a,8,v1_lda,max-prob,0.4,0.4027777777777778,0.42278713599622275,0.7672413793103449,0.23275862068965514
BCI_IV_2a,8,v1_lda,max-prob,0.6,0.6006944444444444,0.39219363413825564,0.7109826589595376,0.2890173410404624
BCI_IV_2a,8,v1_lda,max-prob,0.8,0.8020833333333334,0.35800329508713685,0.6796536796536796,0.3203463203463204
BCI_IV_2a,9,v1_lda,max-prob,0.4,0.4015151515151515,0.37671644752546696,0.4528301886792453,0.5471698113207547
BCI_IV_2a,9,v1_lda,max-prob,0.6,0.6022727272727273,0.35606610254981585,0.4528301886792453,0.5471698113207547
BCI_IV_2a,9,v1_lda,max-prob,0.8,0.803030303030303,0.3357471326901859,0.419811320754717,0.5801886792452831
