bin,bin_lower,bin_upper,count,confidence,accuracy,gap,dataset,subject,decoder
0,0.0,0.1,0,,,,BCI_IV_2a,1,v1_lda
1,0.1,0.2,0,,,,BCI_IV_2a,1,v1_lda
2,0.2,0.30000000000000004,2,0.2871863847572185,0.5,0.21281361524278147,BCI_IV_2a,1,v1_lda
3,0.30000000000000004,0.4,19,0.3607535751011865,0.15789473684210525,0.20285883825908124,BCI_IV_2a,1,v1_lda
4,0.4,0.5,73,0.45831483695014,0.589041095890411,0.13072625894027096,BCI_IV_2a,1,v1_lda
5,0.5,0.6000000000000001,68,0.5453088416136427,0.7941176470588235,0.2488088054451808,BCI_IV_2a,1,v1_lda
6,0.6000000000000001,0.7000000000000001,74,0.6471425878516803,0.7567567567567568,0.10961416890507647,BCI_IV_2a,1,v1_lda
7,0.7000000000000001,0.8,36,0.7471398944568589,1.0,0.2528601055431411,BCI_IV_2a,1,v1_lda
8,0.8,0.9,16,0.826552051529585,1.0,0.173447948470415,BCI_IV_2a,1,v1_lda
9,0.9,1.0,0,,,,BCI_IV_2a,1,v1_lda
0,0.0,0.1,0,,,,BCI_IV_2a,2,v1_lda
1,0.1,0.2,0,,,,BCI_IV_2a,2,v1_lda
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,2,v1_lda
3,0.30000000000000004,0.4,0,,,,BCI_IV_2a,2,v1_lda
4,0.4,0.5,33,0.4789041293670198,0.0,0.4789041293670198,BCI_IV_2a,2,v1_lda
5,0.5,0.6000000000000001,242,0.550434959180205,0.24793388429752067,0.30250107488268435,BCI_IV_2a,2,v1_lda
6,0.6000000000000001,0.7000000000000001,13,0.6113327010044786,0.9230769230769231,0.31174422207244457,BCI_IV_2a,2,v1_lda
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,2,v1_lda
8,0.8,0.9,0,,,,BCI_IV_2a,2,v1_lda
9,0.9,1.0,0,,,,BCI_IV_2a,2,v1_lda
0,0.0,0.1,0,,,,BCI_IV_2a,3,v1_lda
1,0.1,0.2,0,,,,BCI_IV_2a,3,v1_lda
2,0.2,0.30000000000000004,1,0.2984318768006686,0.0,0.2984318768006686,BCI_IV_2a,3,v1_lda
3,0.30000000000000004,0.4,17,0.3695219900555303,0.5882352941176471,0.21871330406211675,BCI_IV_2a,3,v1_lda
4,0.4,0.5,55,0.4574671452843117,0.5636363636363636,0.1061692183520519,BCI_IV_2a,3,v1_lda
5,0.5,0.6000000000000001,69,0.5495139256040051,0.6666666666666666,0.11715274106266149,BCI_IV_2a,3,v1_lda
6,0.6000000000000001,0.7000000000000001,67,0.6529020573384259,0.835820895522388,0.18291883818396215,BCI_IV_2a,3,v1_lda
7,0.7000000000000001,0.8,57,0.7526208053713611,0.9649122807017544,0.21229147533039328,BCI_IV_2a,3,v1_lda
8,0.8,0.9,22,0.8397945596734858,1.0,0.16020544032651418,BCI_IV_2a,3,v1_lda
9,0.9,1.0,0,,,,BCI_IV_2a,3,v1_lda
0,0.0,0.1,0,,,,BCI_IV_2a,4,v1_lda
1,0.1,0.2,0,,,,BCI_IV_2a,4,v1_lda
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,4,v1_lda
3,0.30000000000000004,0.4,274,0.35066752047468136,0.23722627737226276,0.1134412431024186,BCI_IV_2a,4,v1_lda
4,0.4,0.5,14,0.4323591679076282,0.5,0.06764083209237182,BCI_IV_2a,4,v1_lda
5,0.5,0.6000000000000001,0,,,,BCI_IV_2a,4,v1_lda
6,0.6000000000000001,0.7000000000000001,0,,,,BCI_IV_2a,4,v1_lda
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,4,v1_lda
8,0.8,0.9,0,,,,BCI_IV_2a,4,v1_lda
9,0.9,1.0,0,,,,BCI_IV_2a,4,v1_lda
0,0.0,0.1,0,,,,BCI_IV_2a,5,v1_lda
1,0.1,0.2,0,,,,BCI_IV_2a,5,v1_lda
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,5,v1_lda
3,0.30000000000000004,0.4,1,0.3990797563062235,0.0,0.3990797563062235,BCI_IV_2a,5,v1_lda
4,0.4,0.5,287,0.4377701691593406,0.30662020905923343,0.13114996010010715,BCI_IV_2a,5,v1_lda
5,0.5,0.6000000000000001,0,,,,BCI_IV_2a,5,v1_lda
6,0.6000000000000001,0.7000000000000001,0,,,,BCI_IV_2a,5,v1_lda
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,5,v1_lda
8,0.8,0.9,0,,,,BCI_IV_2a,5,v1_lda
9,0.9,1.0,0,,,,BCI_IV_2a,5,v1_lda
0,0.0,0.1,0,,,,BCI_IV_2a,6,v1_lda
