run,dataset,ablation,setting,mean_selective_accuracy,mean_ece,mean_brier
smoke_deep_one_subject,BCI_IV_2a,model,deep_ensemble_validation_weighted,0.8323699421965318,0.0929888039046406,0.3497653990209758
smoke_deep_one_subject,BCI_IV_2a,model,eegnet_calibrated,0.5722543352601156,0.0752989484220728,0.5531060013775618
smoke_deep_one_subject,BCI_IV_2a,model,eegnet_uncalibrated,0.5722543352601156,0.0723163636292965,0.5517984312571086
smoke_deep_one_subject,BCI_IV_2a,model,spatial_calibrated,0.8728323699421965,0.0450893297368379,0.3134421108948479
smoke_deep_one_subject,BCI_IV_2a,model,spatial_uncalibrated,0.8670520231213873,0.04905754906466,0.315487332124061
smoke_deep_one_subject,BCI_IV_2a,model,v1_lda,0.8439306358381503,0.1761511816124151,0.4091934881538396
headline_bci_iv_2a/classical_lda,BCI_IV_2a,model,v1_lda,0.5243029047151633,0.1760177973301197,0.6722788544291142
smoke_lda_one_subject,BCI_IV_2a,model,v1_lda,0.8439306358381503,0.1761511823526346,0.4091934887442534
smoke_lda,BCI_IV_2a,model,v1_lda,0.5236606439572956,0.1760386148482126,0.6722904484563914
smoke_lda_one_subject_2,BCI_IV_2a,model,v1_lda,0.8439306358381503,0.1761511823526346,0.4091934887442534
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,model,deep_ensemble_validation_weighted,0.7827664069348005,0.0584379291210895,0.4028423238763429
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,model,eegnet_calibrated,0.6860879856844521,0.0567329736455822,0.4955455199715209
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,model,eegnet_uncalibrated,0.6854457249265843,0.0686729129340169,0.4968409888824573
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,model,spatial_calibrated,0.7792723468369668,0.0735934798436853,0.4038764452474981
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,model,spatial_uncalibrated,0.7799146075948343,0.0974883888484582,0.4162140577231977
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,model,v1_lda,0.5243029047151633,0.1760177973301197,0.6722788544291142
