dataset,model,label,target_coverage,selective_accuracy_mean,selective_accuracy_sem,selective_risk_mean,selective_risk_sem
BCI_IV_2a,v1_lda,v1 LDA,0.4,0.5790500975927131,0.07697965949786052,0.4209499024072869,0.07697965949786052
BCI_IV_2a,eegnet_uncalibrated,EEGNet,0.4,0.7178486228583822,0.0727960408707423,0.28215137714161787,0.0727960408707423
BCI_IV_2a,eegnet_calibrated,EEGNet + temp.,0.4,0.7178486228583822,0.07307906946797577,0.28215137714161787,0.07307906946797577
BCI_IV_2a,spatial_uncalibrated,Spatial-attn.,0.4,0.8241704619388419,0.059950634912350274,0.17582953806115809,0.059950634912350274
BCI_IV_2a,spatial_calibrated,Spatial-attn. + temp.,0.4,0.8260861707511025,0.059822579732915576,0.17391382924889753,0.059822579732915576
BCI_IV_2a,deep_ensemble_validation_weighted,Deep ensemble,0.4,0.8216583532133304,0.06045579919512142,0.17834164678666953,0.06045579919512142
BCI_IV_2a,v1_lda,v1 LDA,0.6,0.5243029047151633,0.07755597462500864,0.47569709528483656,0.07755597462500864
BCI_IV_2a,eegnet_uncalibrated,EEGNet,0.6,0.6854457249265843,0.07293762029341579,0.3145542750734156,0.07293762029341579
BCI_IV_2a,eegnet_calibrated,EEGNet + temp.,0.6,0.6860879856844521,0.07259874786534455,0.31391201431554794,0.07259874786534455
BCI_IV_2a,spatial_uncalibrated,Spatial-attn.,0.6,0.7799146075948343,0.06341637370841881,0.22008539240516553,0.06341637370841882
BCI_IV_2a,spatial_calibrated,Spatial-attn. + temp.,0.6,0.7792723468369668,0.06379117338171576,0.22072765316303322,0.06379117338171578
BCI_IV_2a,deep_ensemble_validation_weighted,Deep ensemble,0.6,0.7827664069348005,0.06216587957620057,0.21723359306519954,0.06216587957620057
BCI_IV_2a,v1_lda,v1 LDA,0.8,0.4824321380925154,0.07472480960445434,0.5175678619074846,0.07472480960445434
BCI_IV_2a,eegnet_uncalibrated,EEGNet,0.8,0.6413301932169857,0.06691631669168258,0.3586698067830143,0.06691631669168259
BCI_IV_2a,eegnet_calibrated,EEGNet + temp.,0.8,0.6408491927359852,0.06703520243533079,0.3591508072640148,0.0670352024353308
BCI_IV_2a,spatial_uncalibrated,Spatial-attn.,0.8,0.742376596150181,0.06406841409058835,0.2576234038498189,0.06406841409058835
BCI_IV_2a,spatial_calibrated,Spatial-attn. + temp.,0.8,0.7438195975931825,0.06393637904614288,0.2561804024068175,0.06393637904614287
BCI_IV_2a,deep_ensemble_validation_weighted,Deep ensemble,0.8,0.7375665913401763,0.0651094546126328,0.26243340865982373,0.06510945461263282
