dataset,subject,model,uncertainty_score,target_coverage,coverage,score_cutoff,selective_accuracy,selective_risk
BCI_IV_2a,1,v1_lda,max-prob,0.4,0.4027777777777778,0.61150547949061,0.8620689655172413,0.13793103448275867
BCI_IV_2a,1,v1_lda,max-prob,0.6,0.6006944444444444,0.5210926279241729,0.8439306358381503,0.1560693641618497
BCI_IV_2a,1,v1_lda,max-prob,0.8,0.8020833333333334,0.46320136241756343,0.8008658008658008,0.19913419913419916
BCI_IV_2a,1,eegnet_uncalibrated,max-prob,0.4,0.4027777777777778,0.5843652956428623,0.603448275862069,0.39655172413793105
BCI_IV_2a,1,eegnet_uncalibrated,max-prob,0.6,0.6006944444444444,0.5297987394575304,0.5722543352601156,0.4277456647398844
BCI_IV_2a,1,eegnet_uncalibrated,max-prob,0.8,0.8020833333333334,0.4930494873975336,0.5714285714285714,0.4285714285714286
BCI_IV_2a,1,eegnet_calibrated,max-prob,0.4,0.4027777777777778,0.58959042641054,0.6120689655172413,0.3879310344827587
BCI_IV_2a,1,eegnet_calibrated,max-prob,0.6,0.6006944444444444,0.5344408807776432,0.5722543352601156,0.4277456647398844
BCI_IV_2a,1,eegnet_calibrated,max-prob,0.8,0.8020833333333334,0.4965081856619711,0.5757575757575758,0.4242424242424242
BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.4,0.4027777777777778,0.8090886910497767,0.896551724137931,0.10344827586206895
BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.6,0.6006944444444444,0.7098645160321977,0.8670520231213873,0.1329479768786127
BCI_IV_2a,1,spatial_uncalibrated,max-prob,0.8,0.8020833333333334,0.5862088735874477,0.8354978354978355,0.16450216450216448
BCI_IV_2a,1,spatial_calibrated,max-prob,0.4,0.4027777777777778,0.8703573785774744,0.896551724137931,0.10344827586206895
BCI_IV_2a,1,spatial_calibrated,max-prob,0.6,0.6006944444444444,0.758220598313273,0.8728323699421965,0.12716763005780352
BCI_IV_2a,1,spatial_calibrated,max-prob,0.8,0.8020833333333334,0.6318818594038426,0.8311688311688312,0.16883116883116878
BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.4,0.4027777777777778,0.7702791114943718,0.8448275862068966,0.15517241379310343
BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.6,0.6006944444444444,0.7001366009919897,0.8323699421965318,0.16763005780346818
BCI_IV_2a,1,deep_ensemble_validation_weighted,max-prob,0.8,0.8020833333333334,0.594200306097331,0.8181818181818182,0.18181818181818177
