bin,bin_lower,bin_upper,count,confidence,accuracy,gap,dataset,subject,decoder
0,0.0,0.1,0,,,,BCI_IV_2a,1,v1_lda
1,0.1,0.2,0,,,,BCI_IV_2a,1,v1_lda
2,0.2,0.30000000000000004,2,0.2871863847572185,0.5,0.21281361524278147,BCI_IV_2a,1,v1_lda
3,0.30000000000000004,0.4,19,0.3607535751011865,0.15789473684210525,0.20285883825908124,BCI_IV_2a,1,v1_lda
4,0.4,0.5,73,0.45831483695014,0.589041095890411,0.13072625894027096,BCI_IV_2a,1,v1_lda
5,0.5,0.6000000000000001,68,0.5453088416136427,0.7941176470588235,0.2488088054451808,BCI_IV_2a,1,v1_lda
6,0.6000000000000001,0.7000000000000001,74,0.6471425878516803,0.7567567567567568,0.10961416890507647,BCI_IV_2a,1,v1_lda
7,0.7000000000000001,0.8,36,0.7471398944568589,1.0,0.2528601055431411,BCI_IV_2a,1,v1_lda
8,0.8,0.9,16,0.826552051529585,1.0,0.173447948470415,BCI_IV_2a,1,v1_lda
9,0.9,1.0,0,,,,BCI_IV_2a,1,v1_lda
0,0.0,0.1,0,,,,BCI_IV_2a,1,eegnet_uncalibrated
1,0.1,0.2,0,,,,BCI_IV_2a,1,eegnet_uncalibrated
2,0.2,0.30000000000000004,1,0.2856480055620435,1.0,0.7143519944379565,BCI_IV_2a,1,eegnet_uncalibrated
3,0.30000000000000004,0.4,14,0.36603283133747855,0.42857142857142855,0.06253859723395,BCI_IV_2a,1,eegnet_uncalibrated
4,0.4,0.5,59,0.4664673135078568,0.4406779661016949,0.0257893474061619,BCI_IV_2a,1,eegnet_uncalibrated
5,0.5,0.6000000000000001,108,0.5430323675030593,0.5185185185185185,0.024513848984540787,BCI_IV_2a,1,eegnet_uncalibrated
6,0.6000000000000001,0.7000000000000001,43,0.64009094337978,0.6046511627906976,0.03543978058908237,BCI_IV_2a,1,eegnet_uncalibrated
7,0.7000000000000001,0.8,14,0.7693044137983412,0.5714285714285714,0.19787584236976985,BCI_IV_2a,1,eegnet_uncalibrated
8,0.8,0.9,30,0.8603044684951079,0.7333333333333333,0.1269711351617746,BCI_IV_2a,1,eegnet_uncalibrated
9,0.9,1.0,19,0.9455182509931379,0.5789473684210527,0.36657088257208525,BCI_IV_2a,1,eegnet_uncalibrated
0,0.0,0.1,0,,,,BCI_IV_2a,1,eegnet_calibrated
1,0.1,0.2,0,,,,BCI_IV_2a,1,eegnet_calibrated
2,0.2,0.30000000000000004,1,0.286641784282706,1.0,0.713358215717294,BCI_IV_2a,1,eegnet_calibrated
3,0.30000000000000004,0.4,12,0.36351453623469165,0.4166666666666667,0.05315213043197503,BCI_IV_2a,1,eegnet_calibrated
4,0.4,0.5,55,0.464136114773349,0.43636363636363634,0.027772478409712642,BCI_IV_2a,1,eegnet_calibrated
5,0.5,0.6000000000000001,111,0.5428724919331798,0.5225225225225225,0.020349969410657254,BCI_IV_2a,1,eegnet_calibrated
6,0.6000000000000001,0.7000000000000001,45,0.6426948151516114,0.5777777777777777,0.0649170373738337,BCI_IV_2a,1,eegnet_calibrated
7,0.7000000000000001,0.8,12,0.7640073111091082,0.6666666666666666,0.09734064444244162,BCI_IV_2a,1,eegnet_calibrated
8,0.8,0.9,29,0.8553917621837771,0.6896551724137931,0.16573658976998396,BCI_IV_2a,1,eegnet_calibrated
9,0.9,1.0,23,0.9414289099598908,0.6086956521739131,0.33273325778597773,BCI_IV_2a,1,eegnet_calibrated
0,0.0,0.1,0,,,,BCI_IV_2a,1,spatial_uncalibrated
1,0.1,0.2,0,,,,BCI_IV_2a,1,spatial_uncalibrated
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,1,spatial_uncalibrated
3,0.30000000000000004,0.4,2,0.37948913197592427,0.5,0.12051086802407573,BCI_IV_2a,1,spatial_uncalibrated
4,0.4,0.5,12,0.47297231953669655,0.6666666666666666,0.19369434712997008,BCI_IV_2a,1,spatial_uncalibrated
5,0.5,0.6000000000000001,49,0.5548970368188505,0.5306122448979592,0.02428479192089128,BCI_IV_2a,1,spatial_uncalibrated
6,0.6000000000000001,0.7000000000000001,47,0.6572502331271107,0.723404255319149,0.06615402219203825,BCI_IV_2a,1,spatial_uncalibrated
7,0.7000000000000001,0.8,53,0.7519696730088701,0.7924528301886793,0.040483157179809215,BCI_IV_2a,1,spatial_uncalibrated
8,0.8,0.9,67,0.8512281860878114,0.8955223880597015,0.04429420197189016,BCI_IV_2a,1,spatial_uncalibrated
9,0.9,1.0,58,0.950874267572729,0.9137931034482759,0.03708116412445306,BCI_IV_2a,1,spatial_uncalibrated
0,0.0,0.1,0,,,,BCI_IV_2a,1,spatial_calibrated
