bin,bin_lower,bin_upper,count,confidence,accuracy,gap,dataset,subject,decoder
0,0.0,0.1,0,,,,BCI_IV_2a,1,v1_lda
1,0.1,0.2,0,,,,BCI_IV_2a,1,v1_lda
2,0.2,0.30000000000000004,2,0.2871863842190385,0.5,0.21281361578096147,BCI_IV_2a,1,v1_lda
3,0.30000000000000004,0.4,19,0.36075357626542365,0.15789473684210525,0.2028588394233184,BCI_IV_2a,1,v1_lda
4,0.4,0.5,73,0.4583148373589893,0.589041095890411,0.13072625853142167,BCI_IV_2a,1,v1_lda
5,0.5,0.6000000000000001,68,0.5453088400165287,0.7941176470588235,0.2488088070422948,BCI_IV_2a,1,v1_lda
6,0.6000000000000001,0.7000000000000001,74,0.6471425872320908,0.7567567567567568,0.10961416952466596,BCI_IV_2a,1,v1_lda
7,0.7000000000000001,0.8,36,0.7471398936820967,1.0,0.25286010631790334,BCI_IV_2a,1,v1_lda
8,0.8,0.9,16,0.8265520491866143,1.0,0.1734479508133857,BCI_IV_2a,1,v1_lda
9,0.9,1.0,0,,,,BCI_IV_2a,1,v1_lda
0,0.0,0.1,0,,,,BCI_IV_2a,2,v1_lda
1,0.1,0.2,0,,,,BCI_IV_2a,2,v1_lda
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,2,v1_lda
3,0.30000000000000004,0.4,0,,,,BCI_IV_2a,2,v1_lda
4,0.4,0.5,33,0.47907337103401887,0.0,0.47907337103401887,BCI_IV_2a,2,v1_lda
5,0.5,0.6000000000000001,242,0.5505770493161444,0.24793388429752067,0.3026431650186237,BCI_IV_2a,2,v1_lda
6,0.6000000000000001,0.7000000000000001,13,0.6114223100705851,0.9230769230769231,0.311654613006338,BCI_IV_2a,2,v1_lda
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,2,v1_lda
8,0.8,0.9,0,,,,BCI_IV_2a,2,v1_lda
9,0.9,1.0,0,,,,BCI_IV_2a,2,v1_lda
0,0.0,0.1,0,,,,BCI_IV_2a,3,v1_lda
1,0.1,0.2,0,,,,BCI_IV_2a,3,v1_lda
2,0.2,0.30000000000000004,1,0.2984318420779279,0.0,0.2984318420779279,BCI_IV_2a,3,v1_lda
3,0.30000000000000004,0.4,17,0.36952198969792477,0.5882352941176471,0.2187133044197223,BCI_IV_2a,3,v1_lda
4,0.4,0.5,55,0.45746714502405633,0.5636363636363636,0.10616921861230727,BCI_IV_2a,3,v1_lda
5,0.5,0.6000000000000001,69,0.5495139247615147,0.6666666666666666,0.1171527419051519,BCI_IV_2a,3,v1_lda
6,0.6000000000000001,0.7000000000000001,67,0.6529020571712258,0.835820895522388,0.18291883835116218,BCI_IV_2a,3,v1_lda
7,0.7000000000000001,0.8,57,0.7526208071718886,0.9649122807017544,0.21229147352986577,BCI_IV_2a,3,v1_lda
8,0.8,0.9,22,0.8397945592874642,1.0,0.16020544071253584,BCI_IV_2a,3,v1_lda
9,0.9,1.0,0,,,,BCI_IV_2a,3,v1_lda
0,0.0,0.1,0,,,,BCI_IV_2a,4,v1_lda
1,0.1,0.2,0,,,,BCI_IV_2a,4,v1_lda
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,4,v1_lda
3,0.30000000000000004,0.4,274,0.35067109177004013,0.23722627737226276,0.11344481439777737,BCI_IV_2a,4,v1_lda
4,0.4,0.5,14,0.43235696073984026,0.5,0.06764303926015974,BCI_IV_2a,4,v1_lda
5,0.5,0.6000000000000001,0,,,,BCI_IV_2a,4,v1_lda
6,0.6000000000000001,0.7000000000000001,0,,,,BCI_IV_2a,4,v1_lda
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,4,v1_lda
8,0.8,0.9,0,,,,BCI_IV_2a,4,v1_lda
9,0.9,1.0,0,,,,BCI_IV_2a,4,v1_lda
0,0.0,0.1,0,,,,BCI_IV_2a,5,v1_lda
1,0.1,0.2,0,,,,BCI_IV_2a,5,v1_lda
2,0.2,0.30000000000000004,0,,,,BCI_IV_2a,5,v1_lda
3,0.30000000000000004,0.4,1,0.3988798158711989,0.0,0.3988798158711989,BCI_IV_2a,5,v1_lda
4,0.4,0.5,287,0.4377634672047001,0.30662020905923343,0.13114325814546668,BCI_IV_2a,5,v1_lda
5,0.5,0.6000000000000001,0,,,,BCI_IV_2a,5,v1_lda
6,0.6000000000000001,0.7000000000000001,0,,,,BCI_IV_2a,5,v1_lda
7,0.7000000000000001,0.8,0,,,,BCI_IV_2a,5,v1_lda
8,0.8,0.9,0,,,,BCI_IV_2a,5,v1_lda
9,0.9,1.0,0,,,,BCI_IV_2a,5,v1_lda
0,0.0,0.1,0,,,,BCI_IV_2a,6,v1_lda
