dataset,subject,model,uncertainty_score,coverage,target_coverage,score_cutoff,risk,accuracy,n_covered
BCI_IV_2a,1,v1_lda,max-prob,0.052083333333333336,0.05,0.8011724597892723,0.0,1.0,15
BCI_IV_2a,1,v1_lda,max-prob,0.10069444444444445,0.1,0.7577859532135622,0.0,1.0,29
BCI_IV_2a,1,v1_lda,max-prob,0.1527777777777778,0.15,0.721874611208103,0.0,1.0,44
BCI_IV_2a,1,v1_lda,max-prob,0.2013888888888889,0.2,0.6871921054216277,0.017241379310344862,0.9827586206896551,58
BCI_IV_2a,1,v1_lda,max-prob,0.25,0.25,0.671511757102034,0.04166666666666663,0.9583333333333334,72
BCI_IV_2a,1,v1_lda,max-prob,0.3020833333333333,0.3,0.6543861507168381,0.05747126436781613,0.9425287356321839,87
BCI_IV_2a,1,v1_lda,max-prob,0.3506944444444444,0.35,0.6289424608012316,0.09900990099009899,0.900990099009901,101
BCI_IV_2a,1,v1_lda,max-prob,0.4027777777777778,0.4,0.6115054851370199,0.13793103448275867,0.8620689655172413,116
BCI_IV_2a,1,v1_lda,max-prob,0.4513888888888889,0.45,0.5957536161343504,0.1384615384615384,0.8615384615384616,130
BCI_IV_2a,1,v1_lda,max-prob,0.5,0.5,0.5674643872790243,0.13194444444444442,0.8680555555555556,144
BCI_IV_2a,1,v1_lda,max-prob,0.5520833333333334,0.55,0.5497576949091904,0.15094339622641506,0.8490566037735849,159
BCI_IV_2a,1,v1_lda,max-prob,0.6006944444444444,0.6,0.5210926359441823,0.1560693641618497,0.8439306358381503,173
BCI_IV_2a,1,v1_lda,max-prob,0.6527777777777778,0.65,0.503482757348264,0.15957446808510634,0.8404255319148937,188
BCI_IV_2a,1,v1_lda,max-prob,0.7013888888888888,0.7,0.49567628620767623,0.1732673267326733,0.8267326732673267,202
BCI_IV_2a,1,v1_lda,max-prob,0.75,0.75,0.48000867838614797,0.18055555555555558,0.8194444444444444,216
BCI_IV_2a,1,v1_lda,max-prob,0.8020833333333334,0.8,0.4632013800394881,0.19913419913419916,0.8008658008658008,231
BCI_IV_2a,1,v1_lda,max-prob,0.8506944444444444,0.85,0.440340650969616,0.2204081632653061,0.7795918367346939,245
BCI_IV_2a,1,v1_lda,max-prob,0.9027777777777778,0.9,0.41608863159810083,0.23076923076923073,0.7692307692307693,260
BCI_IV_2a,1,v1_lda,max-prob,0.9513888888888888,0.95,0.3721090162249319,0.24452554744525545,0.7554744525547445,274
BCI_IV_2a,1,v1_lda,max-prob,1.0,1.0,0.28286256767314694,0.2743055555555556,0.7256944444444444,288
BCI_IV_2a,2,v1_lda,max-prob,0.052083333333333336,0.05,0.5980331876372637,0.1333333333333333,0.8666666666666667,15
BCI_IV_2a,2,v1_lda,max-prob,0.10069444444444445,0.1,0.5876272899074868,0.31034482758620685,0.6896551724137931,29
BCI_IV_2a,2,v1_lda,max-prob,0.1527777777777778,0.15,0.5810848606210667,0.4545454545454546,0.5454545454545454,44
BCI_IV_2a,2,v1_lda,max-prob,0.2013888888888889,0.2,0.5760380219569335,0.39655172413793105,0.603448275862069,58
BCI_IV_2a,2,v1_lda,max-prob,0.25,0.25,0.5727519507645569,0.4444444444444444,0.5555555555555556,72
BCI_IV_2a,2,v1_lda,max-prob,0.3020833333333333,0.3,0.5659209673269942,0.47126436781609193,0.5287356321839081,87
BCI_IV_2a,2,v1_lda,max-prob,0.3506944444444444,0.35,0.5618577500943905,0.48514851485148514,0.5148514851485149,101
BCI_IV_2a,2,v1_lda,max-prob,0.4027777777777778,0.4,0.5563305953738215,0.5258620689655172,0.47413793103448276,116
BCI_IV_2a,2,v1_lda,max-prob,0.4513888888888889,0.45,0.5537083731977239,0.5692307692307692,0.4307692307692308,130
