bin,bin_lower,bin_upper,count,confidence,accuracy,gap,dataset,subject,decoder
0,0.0,0.1,0,,,,BCI_IV_2a,1,v1_lda
1,0.1,0.2,0,,,,BCI_IV_2a,1,v1_lda
2,0.2,0.30000000000000004,2,0.2871863842190385,0.5,0.21281361578096147,BCI_IV_2a,1,v1_lda
3,0.30000000000000004,0.4,19,0.36075357626542365,0.15789473684210525,0.2028588394233184,BCI_IV_2a,1,v1_lda
4,0.4,0.5,73,0.4583148373589893,0.589041095890411,0.13072625853142167,BCI_IV_2a,1,v1_lda
5,0.5,0.6000000000000001,68,0.5453088400165287,0.7941176470588235,0.2488088070422948,BCI_IV_2a,1,v1_lda
6,0.6000000000000001,0.7000000000000001,74,0.6471425872320908,0.7567567567567568,0.10961416952466596,BCI_IV_2a,1,v1_lda
7,0.7000000000000001,0.8,36,0.7471398936820967,1.0,0.25286010631790334,BCI_IV_2a,1,v1_lda
8,0.8,0.9,16,0.8265520491866143,1.0,0.1734479508133857,BCI_IV_2a,1,v1_lda
9,0.9,1.0,0,,,,BCI_IV_2a,1,v1_lda
