run,dataset,ablation,setting,mean_selective_accuracy,mean_ece,mean_brier
local_iiia_lda_full,BCI_IIIa,model,v1_lda,0.7692307692307692,0.2043008496784518,0.4996735370509093
local_iiia_lda_full,BCI_IV_2a,model,v1_lda,0.5236606439572956,0.1760386148482126,0.6722904484563914
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,model,deep_ensemble_validation_weighted,0.676300578034682,0.1258287810197033,0.5334461373404887
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,model,eegnet_calibrated,0.4913294797687861,0.0959665395419651,0.6556545006572612
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,model,eegnet_uncalibrated,0.4913294797687861,0.0884595205655596,0.6579629170939835
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,model,spatial_calibrated,0.6907514450867052,0.0838542861181789,0.5063370961387444
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,model,spatial_uncalibrated,0.6907514450867052,0.0962932931495322,0.5079303844980234
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,model,v1_lda,0.5953757225433526,0.2497085376133172,0.6281566208990131
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,model,deep_ensemble_validation_weighted,0.6820809248554913,0.1369603804493371,0.5285209148432389
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,model,eegnet_uncalibrated,0.4913294797687861,0.0884595205655596,0.6579629170939835
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,model,spatial_uncalibrated,0.6907514450867052,0.0962932931495322,0.5079303844980234
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,model,v1_lda,0.5953757225433526,0.2497085376133172,0.6281566208990131
moabb_smoke_3datasets_lda,BCI_IV_2a,model,v1_lda,0.5236606439572956,0.1760386148482126,0.6722904484563914
moabb_smoke_3datasets_lda,BNCI2014_001,model,v1_lda,0.8505747126436781,0.1646933440887492,0.3797194968566885
moabb_smoke_3datasets_lda,Cho2017,model,v1_lda,0.6428571428571429,0.0553491460667174,0.4768943740828161
moabb_smoke_3datasets_lda,PhysionetMI,model,v1_lda,0.7777777777777778,0.1352936173737398,0.4465126379601383
smoke_iiia_lda,BCI_IIIa,model,v1_lda,0.7692307692307692,0.2043008496784518,0.4996735370509093
smoke_iiia_lda,BCI_IV_2a,model,v1_lda,0.8439306358381503,0.1761511823526346,0.4091934887442534
moabb_5subj_3datasets_lda,BCI_IV_2a,model,v1_lda,0.5236606439572956,0.1760386148482126,0.6722904484563914
moabb_5subj_3datasets_lda,BNCI2014_001,model,v1_lda,0.6919540229885058,0.1015215958183848,0.4445908859693857
moabb_5subj_3datasets_lda,Cho2017,model,v1_lda,0.7238095238095239,0.0582774085987211,0.4170773244336624
moabb_5subj_3datasets_lda,PhysionetMI,model,v1_lda,0.6,0.2030611638323846,0.4698818443611697
calibration_ablation_post_ensemble_temp_s2_e10,BCI_IV_2a,model,deep_ensemble_validation_weighted,0.676300578034682,0.071852139030496,0.5183926660616085
calibration_ablation_post_ensemble_temp_s2_e10,BCI_IV_2a,model,eegnet_calibrated,0.4913294797687861,0.0959665395419651,0.6556545006572612
calibration_ablation_post_ensemble_temp_s2_e10,BCI_IV_2a,model,eegnet_uncalibrated,0.4913294797687861,0.0884595205655596,0.6579629170939835
calibration_ablation_post_ensemble_temp_s2_e10,BCI_IV_2a,model,spatial_calibrated,0.6907514450867052,0.0838542861181789,0.5063370961387444
calibration_ablation_post_ensemble_temp_s2_e10,BCI_IV_2a,model,spatial_uncalibrated,0.6907514450867052,0.0962932931495322,0.5079303844980234
calibration_ablation_post_ensemble_temp_s2_e10,BCI_IV_2a,model,v1_lda,0.5953757225433526,0.2497085376133172,0.6281566208990131
