run,dataset,model,use_ea,calibrated,uncertainty_score,coverage_target,mean_accuracy_all,mean_macro_f1,mean_brier,mean_ece,mean_selective_accuracy,mean_selective_risk,mean_coverage_observed,n_subjects
local_iiia_lda_full,BCI_IIIa,v1_lda,True,True,max-prob,0.6,0.6587301587301587,0.638362828034867,0.4996735370509093,0.2043008496784518,0.7692307692307692,0.2307692307692307,0.6137566137566138,3
local_iiia_lda_full,BCI_IV_2a,v1_lda,True,True,max-prob,0.6,0.4348695286195286,0.3553617244444751,0.6722904484563915,0.1760386148482126,0.5236606439572957,0.4763393560427043,0.6008698092031426,9
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,deep_ensemble_validation_weighted,True,False,max-prob,0.6,0.609375,0.5854927926397702,0.5334461373404887,0.1258287810197033,0.676300578034682,0.3236994219653179,0.6006944444444444,2
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,eegnet_calibrated,True,True,max-prob,0.6,0.4305555555555556,0.4040215430090288,0.6556545006572612,0.0959665395419651,0.4913294797687861,0.5086705202312138,0.6006944444444444,2
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,eegnet_uncalibrated,True,False,max-prob,0.6,0.4305555555555556,0.4040215430090288,0.6579629170939835,0.0884595205655596,0.4913294797687861,0.5086705202312138,0.6006944444444444,2
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,spatial_calibrated,True,True,max-prob,0.6,0.6319444444444444,0.6114206093486712,0.5063370961387444,0.0838542861181789,0.6907514450867052,0.3092485549132948,0.6006944444444444,2
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,spatial_uncalibrated,True,False,max-prob,0.6,0.6319444444444444,0.6114206093486712,0.5079303844980234,0.0962932931495322,0.6907514450867052,0.3092485549132948,0.6006944444444444,2
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,v1_lda,True,True,max-prob,0.6,0.4878472222222222,0.4118771916316816,0.6281566208990131,0.2497085376133172,0.5953757225433526,0.4046242774566473,0.6006944444444444,2
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,deep_ensemble_validation_weighted,True,False,max-prob,0.6,0.6163194444444444,0.5939360120774173,0.5285209148432389,0.1369603804493371,0.6820809248554913,0.3179190751445087,0.6006944444444444,2
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,eegnet_uncalibrated,True,False,max-prob,0.6,0.4305555555555556,0.4040215430090288,0.6579629170939835,0.0884595205655596,0.4913294797687861,0.5086705202312138,0.6006944444444444,2
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,spatial_uncalibrated,True,False,max-prob,0.6,0.6319444444444444,0.6114206093486712,0.5079303844980234,0.0962932931495322,0.6907514450867052,0.3092485549132948,0.6006944444444444,2
calibration_ablation_no_temp_s2_e10,BCI_IV_2a,v1_lda,True,True,max-prob,0.6,0.4878472222222222,0.4118771916316816,0.6281566208990131,0.2497085376133172,0.5953757225433526,0.4046242774566473,0.6006944444444444,2
moabb_smoke_3datasets_lda,BCI_IV_2a,v1_lda,True,True,max-prob,0.6,0.4348695286195286,0.3553617244444751,0.6722904484563915,0.1760386148482126,0.5236606439572957,0.4763393560427043,0.6008698092031426,9
moabb_smoke_3datasets_lda,BNCI2014_001,v1_lda,True,True,max-prob,0.6,0.7777777777777778,0.777391304347826,0.3797194968566885,0.1646933440887492,0.8505747126436781,0.1494252873563218,0.6041666666666666,1
moabb_smoke_3datasets_lda,Cho2017,v1_lda,True,True,max-prob,0.6,0.5571428571428572,0.5219211280017625,0.4768943740828161,0.0553491460667174,0.6428571428571429,0.3571428571428571,0.6,1
