run,dataset,subject,model,uncertainty_score,target_coverage,coverage,score_cutoff,selective_accuracy,selective_risk
local_iiia_lda_full,BCI_IV_2a,1,v1_lda,max-prob,0.4,0.4027777777777778,0.6115054851370199,0.8620689655172413,0.1379310344827586
local_iiia_lda_full,BCI_IV_2a,1,v1_lda,max-prob,0.6,0.6006944444444444,0.5210926359441823,0.8439306358381503,0.1560693641618497
local_iiia_lda_full,BCI_IV_2a,1,v1_lda,max-prob,0.8,0.8020833333333334,0.4632013800394881,0.8008658008658008,0.1991341991341991
local_iiia_lda_full,BCI_IV_2a,2,v1_lda,max-prob,0.4,0.4027777777777778,0.5563305953738215,0.4741379310344827,0.5258620689655172
local_iiia_lda_full,BCI_IV_2a,2,v1_lda,max-prob,0.6,0.6006944444444444,0.5384421341504679,0.3468208092485549,0.653179190751445
local_iiia_lda_full,BCI_IV_2a,2,v1_lda,max-prob,0.8,0.8020833333333334,0.5136545545131977,0.3073593073593073,0.6926406926406927
local_iiia_lda_full,BCI_IV_2a,3,v1_lda,max-prob,0.4,0.4027777777777778,0.6537994288376746,0.9482758620689656,0.0517241379310344
local_iiia_lda_full,BCI_IV_2a,3,v1_lda,max-prob,0.6,0.6006944444444444,0.561546792123562,0.8901734104046243,0.1098265895953757
local_iiia_lda_full,BCI_IV_2a,3,v1_lda,max-prob,0.8,0.8020833333333334,0.4792332980054388,0.8225108225108225,0.1774891774891774
local_iiia_lda_full,BCI_IV_2a,4,v1_lda,max-prob,0.4,0.4027777777777778,0.3514718842877798,0.3706896551724138,0.6293103448275862
local_iiia_lda_full,BCI_IV_2a,4,v1_lda,max-prob,0.6,0.6006944444444444,0.3431588691591489,0.3236994219653179,0.676300578034682
local_iiia_lda_full,BCI_IV_2a,4,v1_lda,max-prob,0.8,0.8020833333333334,0.338029339397958,0.2857142857142857,0.7142857142857143
local_iiia_lda_full,BCI_IV_2a,5,v1_lda,max-prob,0.4,0.4027777777777778,0.4395669877192443,0.3448275862068966,0.6551724137931034
local_iiia_lda_full,BCI_IV_2a,5,v1_lda,max-prob,0.6,0.6006944444444444,0.432595368114175,0.3063583815028902,0.6936416184971098
local_iiia_lda_full,BCI_IV_2a,5,v1_lda,max-prob,0.8,0.8020833333333334,0.4260133457246174,0.2943722943722944,0.7056277056277056
local_iiia_lda_full,BCI_IV_2a,6,v1_lda,max-prob,0.4,0.4027777777777778,0.5513872127880214,0.3620689655172414,0.6379310344827587
local_iiia_lda_full,BCI_IV_2a,6,v1_lda,max-prob,0.6,0.6006944444444444,0.5319579924554659,0.3236994219653179,0.676300578034682
local_iiia_lda_full,BCI_IV_2a,6,v1_lda,max-prob,0.8,0.8020833333333334,0.5128472832573202,0.29004329004329,0.7099567099567099
local_iiia_lda_full,BCI_IV_2a,7,v1_lda,max-prob,0.4,0.4027777777777778,0.4152417117851616,0.6293103448275862,0.3706896551724138
local_iiia_lda_full,BCI_IV_2a,7,v1_lda,max-prob,0.6,0.6006944444444444,0.3867032795702469,0.5144508670520231,0.4855491329479768
local_iiia_lda_full,BCI_IV_2a,7,v1_lda,max-prob,0.8,0.8020833333333334,0.3682734530145199,0.4372294372294372,0.5627705627705628
local_iiia_lda_full,BCI_IV_2a,8,v1_lda,max-prob,0.4,0.4027777777777778,0.4227878760122182,0.7672413793103449,0.2327586206896551
local_iiia_lda_full,BCI_IV_2a,8,v1_lda,max-prob,0.6,0.6006944444444444,0.3922461392974185,0.7109826589595376,0.2890173410404624
local_iiia_lda_full,BCI_IV_2a,8,v1_lda,max-prob,0.8,0.8020833333333334,0.35796587380451,0.6796536796536796,0.3203463203463204
local_iiia_lda_full,BCI_IV_2a,9,v1_lda,max-prob,0.4,0.4015151515151515,0.3766893329846871,0.4528301886792453,0.5471698113207547
local_iiia_lda_full,BCI_IV_2a,9,v1_lda,max-prob,0.6,0.6022727272727273,0.3560445501612575,0.4528301886792453,0.5471698113207547
local_iiia_lda_full,BCI_IV_2a,9,v1_lda,max-prob,0.8,0.803030303030303,0.3357135227594,0.419811320754717,0.5801886792452831
local_iiia_lda_full,BCI_IIIa,k3b,v1_lda,max-prob,0.4,0.4126984126984127,0.6509875393019273,1.0,0.0
local_iiia_lda_full,BCI_IIIa,k3b,v1_lda,max-prob,0.6,0.6031746031746031,0.6106219100108954,1.0,0.0
local_iiia_lda_full,BCI_IIIa,k3b,v1_lda,max-prob,0.8,0.8095238095238095,0.5093801207077833,0.9411764705882352,0.0588235294117647
local_iiia_lda_full,BCI_IIIa,k6b,v1_lda,max-prob,0.4,0.4047619047619047,0.4617440548222507,0.6470588235294118,0.3529411764705882
local_iiia_lda_full,BCI_IIIa,k6b,v1_lda,max-prob,0.6,0.6190476190476191,0.41002454760375,0.6153846153846154,0.3846153846153846
local_iiia_lda_full,BCI_IIIa,k6b,v1_lda,max-prob,0.8,0.8095238095238095,0.3725838100365427,0.6470588235294118,0.3529411764705882
local_iiia_lda_full,BCI_IIIa,l1b,v1_lda,max-prob,0.4,0.4047619047619047,0.3963067560896583,0.7058823529411765,0.2941176470588235
local_iiia_lda_full,BCI_IIIa,l1b,v1_lda,max-prob,0.6,0.6190476190476191,0.3748726229568215,0.6923076923076923,0.3076923076923077
local_iiia_lda_full,BCI_IIIa,l1b,v1_lda,max-prob,0.8,0.8095238095238095,0.3299342319808034,0.5882352941176471,0.4117647058823529
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,1,v1_lda,max-prob,0.4,0.4027777777777778,0.6115054851370199,0.8620689655172413,0.1379310344827586
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,1,v1_lda,max-prob,0.6,0.6006944444444444,0.5210926359441823,0.8439306358381503,0.1560693641618497
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,1,v1_lda,max-prob,0.8,0.8020833333333334,0.4632013800394881,0.8008658008658008,0.1991341991341991
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,1,eegnet_uncalibrated,max-prob,0.4,0.4027777777777778,0.4491206591784112,0.5086206896551724,0.4913793103448276
calibration_ablation_per_model_temp_s2_e10,BCI_IV_2a,1,eegnet_uncalibrated,max-prob,0.6,0.6006944444444444,0.4036849834805389,0.5028901734104047,0.4971098265895953
