run,dataset,subject,split,model,use_ea,calibrated,uncertainty_score,coverage_target,score_cutoff,n_trials,accuracy_all,macro_f1,brier,ece,selective_accuracy,selective_risk,coverage_observed
local_iiia_lda_full,BCI_IV_2a,1,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5210926359441823,288,0.7256944444444444,0.7237543832633633,0.4091934887442534,0.1761511823526346,0.8439306358381503,0.1560693641618497,0.6006944444444444
local_iiia_lda_full,BCI_IV_2a,2,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5384421341504679,288,0.25,0.1,0.8471197530537729,0.3232658928739998,0.3468208092485549,0.653179190751445,0.6006944444444444
local_iiia_lda_full,BCI_IV_2a,3,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.561546792123562,288,0.7638888888888888,0.7643295108035939,0.3728527866072106,0.1590975697526097,0.8901734104046243,0.1098265895953757,0.6006944444444444
local_iiia_lda_full,BCI_IV_2a,4,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3431588691591489,288,0.25,0.1,0.7596510240534082,0.1112183392174765,0.3236994219653179,0.676300578034682,0.6006944444444444
local_iiia_lda_full,BCI_IV_2a,5,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.432595368114175,288,0.3055555555555556,0.2072640278381905,0.8768984671065428,0.1320728989709032,0.3063583815028902,0.6936416184971098,0.6006944444444444
local_iiia_lda_full,BCI_IV_2a,6,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.5319579924554659,288,0.25,0.1,0.8584633216808971,0.292135895923152,0.3236994219653179,0.676300578034682,0.6006944444444444
local_iiia_lda_full,BCI_IV_2a,7,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3867032795702469,288,0.3715277777777778,0.2912243191591017,0.616494081391787,0.1553759622190216,0.5144508670520231,0.4855491329479768,0.6006944444444444
local_iiia_lda_full,BCI_IV_2a,8,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3922461392974185,288,0.6145833333333334,0.6138784563700577,0.5811393243628447,0.1971776385614611,0.7109826589595376,0.2890173410404624,0.6006944444444444
local_iiia_lda_full,BCI_IV_2a,9,A0xT_to_A0xE,v1_lda,True,True,max-prob,0.6,0.3560445501612575,264,0.3825757575757575,0.2978048225659691,0.7288017891068067,0.0378521537626552,0.4528301886792453,0.5471698113207547,0.6022727272727273
local_iiia_lda_full,BCI_IIIa,k3b,stratified_trial_split,v1_lda,True,True,max-prob,0.6,0.6106219100108954,63,0.8571428571428571,0.85766065830721,0.288678174674383,0.2676200758663325,1.0,0.0,0.6031746031746031
