dataset,model,label,target_coverage,selective_accuracy_mean,selective_accuracy_sem,selective_risk_mean,selective_risk_sem
BCI_IIIa,v1_lda,v1 LDA,0.4,0.7450980392156863,0.1285772259667059,0.2549019607843137,0.1285772259667059
BCI_IIIa,v1_lda,v1 LDA,0.6,0.7348178137651821,0.12147997992407898,0.26518218623481776,0.12147997992407898
BCI_IIIa,v1_lda,v1 LDA,0.8,0.6993464052287582,0.11240119948967217,0.3006535947712418,0.11240119948967213
BCI_IV_2a,v1_lda,v1 LDA,0.4,0.5091267259452034,0.0834500017202246,0.4908732740547965,0.0834500017202246
BCI_IV_2a,v1_lda,v1 LDA,0.6,0.4921333155600796,0.0791062751262358,0.5078666844399202,0.07910627512623582
BCI_IV_2a,v1_lda,v1 LDA,0.8,0.47337934602085546,0.07297651594576655,0.5266206539791445,0.07297651594576657
BNCI2014_001,v1_lda,v1 LDA,0.4,0.6965517241379311,0.10720201073592976,0.30344827586206896,0.10720201073592976
BNCI2014_001,v1_lda,v1 LDA,0.6,0.6919540229885058,0.0766245209770067,0.30804597701149417,0.0766245209770067
BNCI2014_001,v1_lda,v1 LDA,0.8,0.6758620689655171,0.07138014325684294,0.3241379310344828,0.07138014325684293
Cho2017,v1_lda,v1 LDA,0.4,0.7500000000000001,0.07905694150420949,0.25,0.07905694150420947
Cho2017,v1_lda,v1 LDA,0.6,0.7238095238095239,0.06632565846278152,0.27619047619047615,0.0663256584627815
Cho2017,v1_lda,v1 LDA,0.8,0.6857142857142857,0.059921291912723273,0.3142857142857143,0.059921291912723273
PhysionetMI,v1_lda,v1 LDA,0.4,0.6666666666666667,0.11785113019775792,0.3333333333333333,0.11785113019775792
PhysionetMI,v1_lda,v1 LDA,0.6,0.6,0.11439589045541111,0.4,0.11439589045541111
PhysionetMI,v1_lda,v1 LDA,0.8,0.5833333333333334,0.10206207261596575,0.41666666666666663,0.10206207261596575
